id,series_id,start,length,true_class,pred_class,confidence,F_stat,Separability,IG,Composite_Score,Shapelet_Values
4797,53,75,40,3,3,1.6522961,69.196075,1.9369283,0.8056757332649531,54.70408,"[-1.3480522632598877, -1.111644983291626, -1.4035714864730835, -1.4126951694488525, -1.1235034465789795, -0.9589246511459351, -0.9987791180610657, -1.4508776664733887, -1.609907627105713, -1.6844710111618042, -1.639431357383728, -1.7767871618270874, -1.2832826375961304, -1.1093783378601074, -0.9516094326972961, -1.0586382150650024, -1.331423282623291, -1.0809167623519897, -1.0691066980361938, -1.3114912509918213, -1.47152578830719, -1.2857472896575928, -1.2035043239593506, -1.1976765394210815, -1.379186987876892, -1.3620182275772095, -1.3689230680465698, -1.717996597290039, -1.5460506677627563, -1.1500893831253052, -1.1226855516433716, -1.3080334663391113, -1.3958961963653564, -1.0977280139923096, -0.8421171307563782, -0.9586634039878845, -1.3025240898132324, -1.0386364459991455, -1.0601941347122192, -0.9664180278778076, 0.19916954636573792, 0.318573534488678, 0.2940327823162079, 0.3133213222026825, 0.5460658669471741, 0.6939790844917297, 0.7076877355575562, 0.43708786368370056, 0.17965024709701538, 0.0027979984879493713, 0.016748517751693726, -0.007539852522313595, -0.07845065742731094, -0.1484391987323761, -0.1669750064611435, 0.17885303497314453, 0.23695047199726105, 0.2350100427865982, 0.2936825156211853, 0.411922425031662, 0.48636144399642944, 0.5649152398109436, 0.5595026612281799, 0.5122079253196716, 0.28319957852363586, 0.03634108975529671, 0.03677336871623993, -0.07046911865472794, -0.15381570160388947, -0.319705992937088, -0.09467645734548569, 0.1116720587015152, 0.10213635116815567, 0.21701759099960327, 0.4670517146587372, 0.5637651085853577, 0.537743866443634, 0.6198210120201111, 0.5718105435371399, 0.3719787299633026, 0.5412403345108032, 0.9108401536941528, 0.8981496691703796, 0.8117111921310425, 0.7821023464202881, 0.4173944294452667, 0.16602367162704468, 0.07996296882629395, 0.1964704990386963, 0.4206086993217468, 0.5567051768302917, 0.476842999458313, 0.9103968143463135, 1.154392957687378, 0.8100362420082092, 0.7205891609191895, 0.9324657917022705, 0.8739114999771118, 1.0147387981414795, 0.5530312061309814, 0.6195579171180725, 0.5016141533851624, 0.1678561121225357, 0.10158583521842957, 0.156727597117424, 0.38922950625419617, 0.46685734391212463, 0.5955362915992737, 1.0623575448989868, 0.9668213725090027, 0.714461624622345, 0.8491575717926025, 1.22852623462677, 1.2600195407867432, 0.8434019684791565, 0.659691572189331, 0.6189623475074768, 0.3331327438354492, 0.07585196197032928, 0.2949698269367218]"
3698,41,180,20,3,3,1.2380958,82.61511,1.6764097,0.743033538807192,54.17762,"[1.6811431646347046, 1.404991865158081, 1.3040039539337158, 1.0082038640975952, 0.7493865489959717, 0.6996534466743469, 0.9332033395767212, 1.3498694896697998, 1.5172936916351318, 1.0794029235839844, 0.9819930195808411, 1.0646511316299438, 0.8925678730010986, 0.8298253417015076, 0.8994153141975403, 1.1987054347991943, 1.4952274560928345, 1.4724682569503784, 1.3699183464050293, 1.4112625122070312, 0.49357089400291443, 0.5358697175979614, 0.5676347017288208, 0.5678189992904663, 0.6705268621444702, 0.8324163556098938, 0.9131500720977783, 1.0157798528671265, 1.3656926155090332, 1.2453340291976929, 1.1030467748641968, 0.9443771839141846, 0.8279079794883728, 0.7837258577346802, 0.7840816378593445, 0.5353926420211792, 0.38462400436401367, 0.4073437452316284, 0.48968011140823364, 0.5593931674957275, 0.5758066177368164, 0.7779653072357178, 0.7203575372695923, 0.7365267276763916, 0.5819790959358215, 0.6490889191627502, 0.38450339436531067, 0.2667768597602844, 0.14514867961406708, 0.13399697840213776, 0.1506347358226776, 0.19555729627609253, 0.4172845780849457, 0.5595184564590454, 0.6170667409896851, 0.5940691232681274, 0.6417812705039978, 0.8511176109313965, 0.8133012056350708, 0.5773666501045227]"
6130,68,50,30,3,3,1.5041633,82.71833,1.9702773,0.7273746760518891,53.503483,"[0.7662608027458191, 0.8688328862190247, 0.8665719628334045, 1.1413747072219849, 0.9038560390472412, 1.0748189687728882, 0.9791763424873352, 0.8759057521820068, 0.7662464380264282, 0.8000363111495972, 1.1042659282684326, 1.2751531600952148, 1.3584885597229004, 1.3601064682006836, 1.1159857511520386, 0.8202537894248962, 0.7955162525177002, 0.8130260109901428, 0.9630011916160583, 0.9700530171394348, 1.0641071796417236, 0.9305731654167175, 1.1100051403045654, 0.8257942795753479, 0.6547936797142029, 0.6298271417617798, 0.8411051034927368, 1.0985795259475708, 1.2871007919311523, 1.3778579235076904, -0.07798542082309723, 0.0002257567539345473, 0.32239454984664917, 0.3591693937778473, 0.10034451633691788, -0.007799611892551184, -0.002213830593973398, -0.11362902075052261, -0.2996666133403778, -0.40724053978919983, -0.4015272855758667, -0.41759562492370605, -0.4166458547115326, -0.35383760929107666, -0.15613026916980743, -0.0038252242375165224, -0.016622398048639297, 0.07997000962495804, 0.21664226055145264, 0.22863027453422546, 0.18756204843521118, -0.02437419816851616, -0.10273303091526031, -0.2724718451499939, -0.3856433033943176, -0.3774450719356537, -0.25119897723197937, -0.4331571161746979, -0.4784909784793854, -0.34390589594841003, 0.5677611827850342, 0.22250159084796906, -0.07477090507745743, -0.2515396475791931, -0.287723183631897, -0.20425987243652344, -0.0464017391204834, 0.4024716913700104, 0.4659399390220642, 0.3717338740825653, 0.5136666297912598, 0.7684611082077026, 0.6870690584182739, 0.5601744055747986, 0.6141158938407898, 0.41053318977355957, 0.46823573112487793, 0.10349287837743759, 0.1668713390827179, -0.12180866301059723, 0.10372494906187057, 0.04059934988617897, 0.020542927086353302, 0.36028459668159485, 0.6366333961486816, 0.7020474076271057, 1.1958305835723877, 1.1395751237869263, 1.0341200828552246, 0.9401960968971252]"
3715,41,10,40,3,3,1.8247399,76.112305,2.0931726,0.743033538807192,53.00209,"[0.8182490468025208, 1.1171056032180786, 1.2157297134399414, 1.2284328937530518, 1.3323556184768677, 1.4935195446014404, 1.1269023418426514, 0.8350431323051453, 0.6279951333999634, 0.7748379111289978, 1.1478359699249268, 1.139353632926941, 1.079709768295288, 1.0709837675094604, 1.0407129526138306, 0.7534140348434448, 0.6995683312416077, 0.7846639752388, 1.0237025022506714, 1.077026605606079, 1.2302626371383667, 1.3730857372283936, 1.4119999408721924, 1.0097651481628418, 0.8985375761985779, 0.7100569009780884, 0.8071035146713257, 1.1661865711212158, 1.0397632122039795, 1.0114821195602417, 0.9412769079208374, 0.7963104248046875, 0.7475293278694153, 0.8984679579734802, 1.035722017288208, 1.2586934566497803, 1.2647255659103394, 1.310532808303833, 1.4569873809814453, 1.0622965097427368, 0.8241543173789978, 0.5970375537872314, 0.49395063519477844, 0.5157603025436401, 0.4493829905986786, 0.27127331495285034, 0.32810506224632263, 0.5861212015151978, 0.7270433902740479, 0.7183665633201599, 0.7477842569351196, 0.9053328633308411, 1.1857694387435913, 0.967778205871582, 1.0580976009368896, 0.9722781181335449, 0.7651268243789673, 0.5703871846199036, 0.4354315400123596, 0.4939388334751129, 0.5621787905693054, 0.48724034428596497, 0.44137459993362427, 0.5203108787536621, 0.6515496373176575, 0.7994151711463928, 0.8169712424278259, 0.8796812891960144, 1.1302170753479004, 1.170681357383728, 1.1373926401138306, 1.0278303623199463, 0.8968774676322937, 0.6450241804122925, 0.4958913028240204, 0.4135075509548187, 0.35833221673965454, 0.46438801288604736, 0.5090044140815735, 0.44351235032081604, 0.2664203643798828, 0.2506861090660095, -0.046640727669000626, -0.16474826633930206, -0.18360787630081177, -0.09301415085792542, 0.05768990516662598, 0.49592405557632446, 0.2860032618045807, 0.3246307373046875, 0.49403101205825806, 0.5672831535339355, 0.6815162301063538, 0.553310215473175, 0.4015551209449768, 0.2717434763908386, 0.22349406778812408, 0.21825434267520905, 0.05844496935606003, -0.43600577116012573, -0.4985896050930023, -0.17381256818771362, 0.2663414180278778, 0.4323199391365051, 0.3241453766822815, 0.4751555025577545, 0.4980142414569855, 0.6039924621582031, 0.6584662199020386, 0.5538015365600586, 0.29643237590789795, 0.3941955268383026, 0.25315770506858826, 0.1416458636522293, -0.039127200841903687, -0.19937966763973236, -0.07381641119718552, -0.09642425924539566, 0.4320029616355896, 0.6997222900390625]"
3728,41,28,50,3,3,1.9632058,67.156815,2.144773,0.7379068317972881,50.970135,"[1.0237025022506714, 1.077026605606079, 1.2302626371383667, 1.3730857372283936, 1.4119999408721924, 1.0097651481628418, 0.8985375761985779, 0.7100569009780884, 0.8071035146713257, 1.1661865711212158, 1.0397632122039795, 1.0114821195602417, 0.9412769079208374, 0.7963104248046875, 0.7475293278694153, 0.8984679579734802, 1.035722017288208, 1.2586934566497803, 1.2647255659103394, 1.310532808303833, 1.4569873809814453, 1.0622965097427368, 0.7561209797859192, 0.6688883900642395, 0.6222333312034607, 1.0579949617385864, 1.158835768699646, 1.0451911687850952, 1.3335801362991333, 1.093196988105774, 0.7032861709594727, 0.6817469000816345, 0.9290727376937866, 1.1630444526672363, 1.3792728185653687, 1.3498705625534058, 1.3560835123062134, 1.1741104125976562, 0.9295066595077515, 0.8130260109901428, 0.783883810043335, 0.9496009945869446, 1.1533983945846558, 1.1381922960281372, 1.1963170766830444, 1.0568592548370361, 0.6655588746070862, 0.6298271417617798, 0.7836712598800659, 1.0172088146209717, 0.4354315400123596, 0.4939388334751129, 0.5621787905693054, 0.48724034428596497, 0.44137459993362427, 0.5203108787536621, 0.6515496373176575, 0.7994151711463928, 0.8169712424278259, 0.8796812891960144, 1.1302170753479004, 1.170681357383728, 1.1373926401138306, 1.0278303623199463, 0.8968774676322937, 0.6450241804122925, 0.4958913028240204, 0.4135075509548187, 0.35833221673965454, 0.46438801288604736, 0.5090044140815735, 0.44351235032081604, 0.3436334729194641, 0.526016116142273, 0.9597256183624268, 1.284958839416504, 1.259865164756775, 1.1246767044067383, 1.1574456691741943, 1.156736135482788, 0.8453859090805054, 0.657930850982666, 0.4827406108379364, 0.2818221151828766, 0.2576436698436737, 0.3723132014274597, 0.6375938057899475, 0.6886793375015259, 0.628440797328949, 0.5518368482589722, 0.798602819442749, 1.0451362133026123, 1.1381769180297852, 1.0792807340621948, 0.9521894454956055, 0.8165034055709839, 0.7767679691314697, 0.7551907896995544, 0.7838877439498901, 0.5906497240066528, 0.05844496935606003, -0.43600577116012573, -0.4985896050930023, -0.17381256818771362, 0.2663414180278778, 0.4323199391365051, 0.3241453766822815, 0.4751555025577545, 0.4980142414569855, 0.6039924621582031, 0.6584662199020386, 0.5538015365600586, 0.29643237590789795, 0.3941955268383026, 0.25315770506858826, 0.1416458636522293, -0.039127200841903687, -0.19937966763973236, -0.07381641119718552, -0.09642425924539566, 0.4320029616355896, 0.6997222900390625, 0.5884702801704407, 0.4209568202495575, 0.4139510989189148, 0.770267128944397, 0.723525881767273, 0.7844787836074829, 0.3462388217449188, 0.32111626863479614, 0.15633250772953033, 0.15676727890968323, -0.31926217675209045, -0.6808797717094421, -0.4407714605331421, -0.15471981465816498, 0.2989383041858673, 0.4902540445327759, 0.5518438220024109, 0.5754263997077942, 0.6183527708053589, 0.4982258677482605, 0.5734875202178955, 0.3882312476634979, 0.40952250361442566, 0.36028459668159485, 0.1315053552389145, 0.09455402940511703, 0.11693820357322693, -0.3089776039123535]"
7859,87,54,40,1,1,1.7630019,59.337463,1.8972888,0.6993239233891313,47.402878,"[1.1078397035598755, 0.38350343704223633, -2.081582546234131, -2.122713327407837, -1.762657880783081, -1.427747130393982, -1.3999652862548828, -2.618077516555786, -2.299546718597412, -0.4823581576347351, 0.5731561183929443, 1.1336696147918701, 1.0531901121139526, -0.06276398152112961, -1.6789805889129639, -1.5762242078781128, -1.3169902563095093, -1.1767610311508179, -1.274360179901123, -3.0362918376922607, -1.8965678215026855, -0.06824799627065659, 0.7166651487350464, 1.1901216506958008, 0.8498097658157349, -1.5871177911758423, -2.0435843467712402, -1.3419712781906128, -1.3009189367294312, -1.1082831621170044, -1.5378843545913696, -2.9424402713775635, -0.9396078586578369, 0.31821322441101074, 0.6751793622970581, 0.7891002297401428, 0.7046260833740234, -1.1028456687927246, -1.5118252038955688, -1.332665205001831, -2.5036637783050537, -2.0170319080352783, -0.2609071433544159, 0.5215534567832947, 0.48232048749923706, -1.1173547506332397, -2.9863102436065674, -1.3294947147369385, 0.17335747182369232, 1.0569697618484497, 1.044631838798523, -0.6308226585388184, -2.92918062210083, -0.9409782290458679, 0.3941895663738251, 0.7696884274482727, -0.008441002108156681, -2.5241053104400635, -2.414771556854248, -0.5313265919685364, 0.7356206178665161, 1.1361682415008545, 0.859857439994812, -1.9640833139419556, -2.2028820514678955, -0.4507024586200714, 0.40481507778167725, 0.5872365236282349, -0.048409298062324524, -2.6659302711486816, -2.0208053588867188, -0.17132899165153503, 0.8808054327964783, 0.9059977531433105, 0.4687281847000122, -2.3191535472869873, -1.9066892862319946, -0.15343694388866425, 0.6158589720726013, 0.6580184698104858, 0.37268438935279846, 1.2443571090698242, 0.6453935503959656, 0.3821328282356262, 0.557000994682312, -0.3708779811859131, -0.2786315083503723, -0.3244844973087311, -0.8290443420410156, -0.42280513048171997, -1.425268530845642, 0.07171966135501862, 0.6145498752593994, 1.0473600625991821, 0.3515682816505432, 0.19706623256206512, 0.0841515064239502, -0.6546644568443298, -0.25403088331222534, -0.8913544416427612, -0.6729578971862793, -0.1734577715396881, -0.8398153185844421, 0.254348486661911, 0.30623650550842285, 0.4856766164302826, 0.3811682462692261, 0.22218477725982666, 0.2808033227920532, -0.18424318730831146, 0.03801147639751434, -0.5708138942718506, -0.8172832727432251, 0.03142460435628891, -0.7343805432319641, 0.5252764225006104, 0.44271132349967957, 0.7125899791717529, 0.30330875515937805, 0.3605804145336151]"
6696,74,19,50,1,1,2.0729246,60.039948,2.2086725,0.6691992005899747,46.130554,"[0.4656343162059784, -0.6398658156394958, -0.7247726917266846, -0.6383070349693298, -0.5073853731155396, 0.4267015755176544, 0.7641090154647827, 0.5744360685348511, 0.5228025913238525, 0.911967933177948, 1.944929599761963, 0.9702468514442444, -0.13591913878917694, -0.624353289604187, -0.6330440044403076, -0.6505076289176941, 0.0007191128679551184, 0.6974276304244995, 0.836662769317627, 0.6242163181304932, 0.7510456442832947, 1.3047794103622437, 1.919206976890564, 0.6507828831672668, -0.4825282394886017, -0.813058614730835, -0.6242890954017639, -0.22115056216716766, 0.5563973784446716, 0.6037478446960449, 0.43638455867767334, 0.4417860507965088, 0.9109264612197876, 1.7593475580215454, 1.2247544527053833, -0.034468770027160645, -0.6435937881469727, -0.6747074127197266, -0.5364872813224792, -0.34605175256729126, 0.4353106915950775, 0.5683810114860535, 0.5821173191070557, 0.5790776610374451, 0.9301981329917908, 2.107693910598755, 1.1943308115005493, 0.07402951270341873, -0.5802762508392334, -0.9737058281898499, -2.3495638370513916, -1.830889344215393, -0.5236356258392334, 0.03010471723973751, 0.12769044935703278, -1.3580580949783325, -2.563426971435547, -1.2267473936080933, 0.15181711316108704, 0.8745259642601013, 0.8745676279067993, -1.7339515686035156, -2.025908946990967, -0.9217002391815186, -0.23395173251628876, 0.0448923334479332, -0.21186666190624237, -2.2533631324768066, -2.2134835720062256, -0.6185472011566162, 0.7132387161254883, 1.0304449796676636, 0.14680121839046478, -2.322567939758301, -1.703070878982544, -0.46718108654022217, -0.18915770947933197, -0.046526845544576645, -1.5831040143966675, -2.416745662689209, -1.313171625137329, -0.14975033700466156, 0.8353045582771301, 1.040656566619873, -1.303269624710083, -2.366093635559082, -1.0672129392623901, -0.26982760429382324, 0.18834298849105835, -0.21588224172592163, -2.086564779281616, -2.2769525051116943, -0.9842125177383423, 0.2576436698436737, 1.0051017999649048, 0.8919925689697266, -1.557281494140625, -1.9029436111450195, -0.8466048836708069, -0.22722595930099487, 0.6073445081710815, 0.8225856423377991, 0.6274207234382629, 1.058988332748413, 0.7315455675125122, 0.24895302951335907, -0.1988205909729004, -0.36925753951072693, 0.054301802068948746, 1.2644318342208862, 1.1138757467269897, 0.8841386437416077, 0.705165684223175, 0.7566298842430115, 0.9944823980331421, 1.091835379600525, 0.7316733002662659, 0.3818485736846924, -0.04470408335328102, 0.09329593926668167, 1.0404024124145508, 1.1635760068893433, 0.8600887656211853, 0.8740739226341248, 0.9720607399940491, 0.8677117824554443, 1.234228491783142, 0.6949964761734009, 0.2226608395576477, -0.03824770823121071, -0.12578432261943817, 0.09145248681306839, 0.8377127051353455, 0.7267331480979919, 0.6300191283226013, 0.7441636323928833, 1.0374119281768799, 0.514513373374939, 0.26009970903396606, 0.11990808695554733, 0.03951277956366539, -0.07547815144062042, -0.15816667675971985, 0.2803069055080414, 0.8640044927597046, 0.892213761806488, 0.8489978313446045, 0.6145498752593994, 0.3907567858695984, 0.49522143602371216]"
8849,98,1,40,1,1,1.8342605,57.639397,2.0162725,0.6516393191668091,44.71473,"[-0.9867786765098572, -0.5255273580551147, -0.5418667793273926, 0.8289909958839417, 1.3147825002670288, 0.7782436609268188, 0.5971860289573669, 1.284733772277832, 2.9760355949401855, 2.4505770206451416, 0.46171844005584717, -0.7865380048751831, -0.927034318447113, -0.6721144914627075, -0.42925071716308594, 0.47070011496543884, 0.9077776074409485, 0.7447984218597412, 0.8494732975959778, 1.7258951663970947, 3.129696846008301, 1.4313507080078125, -0.4120476543903351, -1.0765676498413086, -0.8722302913665771, -0.5726093053817749, -0.0009203077061101794, 0.9221256375312805, 0.9034460783004761, 0.6545132994651794, 0.8503585457801819, 1.6988102197647095, 2.776022434234619, 0.8765653371810913, -0.8563973307609558, -1.0374445915222168, -0.7182776927947998, -0.4713160991668701, 0.605201244354248, 0.8332086205482483, -0.2086808681488037, -0.8663792014122009, -2.6411244869232178, -1.9317655563354492, -0.09283337742090225, 1.4368983507156372, 1.493245005607605, 0.7095065116882324, -2.370293140411377, -1.906505823135376, -0.8328912854194641, 0.014932891353964806, 0.2891724407672882, -1.144248604774475, -3.3300862312316895, -1.7437350749969482, 0.8053964376449585, 1.5360748767852783, 1.1752922534942627, -0.49079129099845886, -2.638122797012329, -1.5284523963928223, -0.5641465187072754, -0.05013921484351158, 0.07716283947229385, -2.002429246902466, -2.9077308177948, -1.185036063194275, 0.956865668296814, 1.690618872642517, 1.1874690055847168, -2.0334279537200928, -2.210310697555542, -0.9173915386199951, -0.05628484860062599, -0.01694674789905548, -0.9352356195449829, -2.9304728507995605, -2.5584700107574463, -0.3987651765346527, 1.8926241397857666, 1.0680694580078125, 1.0118364095687866, 0.9988201856613159, 3.030463933944702, 1.31587553024292, 1.1025463342666626, 0.5912199020385742, 0.38038259744644165, 0.4823942482471466, 1.913123369216919, 1.8230375051498413, 1.5427600145339966, 1.3391848802566528, 1.4394975900650024, 1.1784820556640625, 2.3960154056549072, 0.755454957485199, 0.130265012383461, -0.6887654662132263, -0.7356976270675659, 0.6626425981521606, 2.157428503036499, 1.8894256353378296, 0.7785048484802246, 0.8366853594779968, 0.8740645051002502, 3.3798513412475586, 2.1827595233917236, 0.865702211856842, 0.16579268872737885, -0.09194628894329071, 0.3520109951496124, 2.5878467559814453, 2.665422201156616, 1.5435049533843994, 0.7757062911987305, 0.8106274604797363, 1.5659314393997192, 2.681077718734741]"
8847,98,55,40,1,1,1.8120894,54.798485,2.115673,0.6516393191668091,44.176365,"[1.785886287689209, 3.277430534362793, 0.9845513105392456, -1.1225616931915283, -1.1615960597991943, -0.781636655330658, -0.192452073097229, 0.7349598407745361, 0.8790185451507568, 0.6671074628829956, 0.7798129916191101, 1.4654682874679565, 2.9328360557556152, 1.3660154342651367, -0.962663471698761, -1.2177778482437134, -0.823808491230011, -0.37887445092201233, 0.6607478857040405, 1.1069337129592896, 0.7355960607528687, 0.6209421157836914, 1.0172088146209717, 2.2377331256866455, 2.4883759021759033, 0.4801286458969116, -0.8372769355773926, -0.9902902245521545, -0.665673553943634, -0.3539150357246399, 0.7942874431610107, 0.9241126179695129, 0.7881131768226624, 1.1106964349746704, 1.6834980249404907, 2.457984209060669, 0.7693144679069519, -0.8164957165718079, -0.9981486201286316, -0.6310935020446777, -1.5969196557998657, -2.259089708328247, -1.0716091394424438, -0.4299977719783783, -0.416836678981781, -0.770781934261322, -2.3033676147460938, -2.0930047035217285, -0.09449803829193115, 1.3804380893707275, 1.4841238260269165, 0.5697987079620361, -2.2793643474578857, -1.6180131435394287, -0.5682008266448975, -0.19464391469955444, -0.14700250327587128, -2.212578058242798, -2.3433098793029785, -0.7662558555603027, 0.8375642895698547, 1.3821489810943604, 1.0403592586517334, -1.9213489294052124, -2.132749080657959, -0.8415814638137817, -0.23584705591201782, -0.18581415712833405, -1.378852367401123, -2.7161405086517334, -1.3656212091445923, 0.39531439542770386, 1.2916579246520996, 1.2275404930114746, -0.11490616947412491, -2.358105421066284, -1.3346091508865356, -0.3899727165699005, -0.1691226065158844, -0.4672996997833252, -0.43419909477233887, 0.925851047039032, 2.395678997039795, 1.7772186994552612, 1.1143457889556885, 0.6761893033981323, 0.8397401571273804, 1.8703771829605103, 2.38315486907959, 1.1332318782806396, 0.07171966135501862, -0.2633349299430847, -0.10169562697410583, 2.4242782592773438, 3.2440929412841797, 1.9827752113342285, 0.928991973400116, 0.5239282250404358, 1.1476058959960938, 2.6571457386016846, 1.5596851110458374, 0.4222851097583771, -0.10778972506523132, -0.21945717930793762, 1.789949893951416, 3.0437934398651123, 2.131661891937256, 0.9380989670753479, 0.5771842002868652, 0.7606950998306274, 2.6506690979003906, 1.6501842737197876, 0.42606520652770996, 0.0343063659965992, -0.16628310084342957, 0.3130350410938263, 2.3116862773895264, 2.0151169300079346, 1.5422861576080322, 0.6898621916770935]"
7851,87,132,40,1,1,1.7726111,54.666245,1.8546019,0.6515716464147963,44.068214,"[-2.5051891803741455, -0.8279075026512146, 0.48176294565200806, 0.9470691680908203, 0.9623947143554688, 0.7706576585769653, -1.9267791509628296, -2.1271581649780273, -1.7994542121887207, -1.3051613569259644, -0.9865999817848206, -1.2715342044830322, -2.1652169227600098, -0.46787768602371216, 0.6764165163040161, 1.127987027168274, 0.852699339389801, 0.5102097392082214, -1.6000926494598389, -1.4962468147277832, -1.3880946636199951, -1.3257005214691162, -1.1529680490493774, -2.452185869216919, -1.3973771333694458, 0.2462913542985916, 0.8426489233970642, 1.116709589958191, 0.8823990821838379, -0.08840187638998032, -1.6545531749725342, -1.8424286842346191, -1.579580545425415, -1.2781901359558105, -1.5104124546051025, -2.95564341545105, -1.0512735843658447, 0.20609696209430695, 0.9172966480255127, 1.1239509582519531, 0.1218063160777092, 1.289526343345642, 1.0624427795410156, 0.2144259661436081, -3.0024001598358154, -1.8664249181747437, 0.2920606732368469, 0.7569962739944458, 0.48013240098953247, -2.012803554534912, -3.2191803455352783, -1.3425456285476685, 0.46393075585365295, 1.2564247846603394, 1.0575144290924072, -0.7351551055908203, -2.8108863830566406, -1.1552021503448486, 0.09459265321493149, 0.5199950933456421, 0.2801353633403778, -2.2013278007507324, -2.8049111366271973, -1.0792704820632935, 0.7071685194969177, 1.257739543914795, 0.9103201031684875, -0.8974922895431519, -2.6739649772644043, -0.8887068033218384, 0.13813775777816772, 0.4551491439342499, 0.21562913060188293, -2.3380770683288574, -2.924121379852295, -0.8993840217590332, 0.7585172057151794, 1.1886084079742432, 0.8453864455223083, -1.9523897171020508, -0.9674378037452698, -0.2965833842754364, -1.0724729299545288, 0.2530462145805359, 0.18715812265872955, 0.4398542642593384, 0.5114336013793945, 0.24727171659469604, 0.3956150710582733, 0.96559077501297, 0.07600479573011398, -0.1864202469587326, -0.9297671914100647, -0.35784414410591125, -1.230864405632019, 0.19573259353637695, 0.22866414487361908, 0.8777185082435608, 0.3785620331764221, 0.1870947629213333, 0.6467103958129883, -0.1712755411863327, -0.006406440865248442, -1.0159066915512085, -0.8107061386108398, -0.14782880246639252, -1.1370415687561035, 0.19345422089099884, 0.5696380734443665, 1.1920360326766968, 0.22965385019779205, 0.23693381249904633, 0.49133357405662537, -0.35855141282081604, -0.02967192232608795, -0.7091333866119385, -0.9092032313346863, -0.9542446732521057, -0.09750238806009293, 0.5624502301216125]"
