id,series_id,start,length,true_class,pred_class,confidence,F_stat,Separability,IG,Composite_Score,dim_0,dim_1,dim_2,Shapelet_Length
9526,68,107,20,3,3,1.1448462,74.21471,1.5946748,0.6484514695670178,1564.557,"[0.7057414054870605, 0.6858245730400085, 0.7440720200538635, 1.0755770206451416, 1.273138403892517, 1.202831506729126, 1.2971680164337158, 1.092034101486206, 0.837079644203186, 0.6955792307853699, 0.7358372807502747, 0.8058778047561646, 0.9270204305648804, 0.9946283102035522, 0.9512946605682373, 1.1089732646942139, 0.8919108510017395, 0.7311481237411499, 0.7011174559593201, 0.8356533050537109]","[-0.2478993982076645, -0.44295915961265564, -0.20488280057907104, -0.29276978969573975, -0.27074310183525085, -0.03778308629989624, 0.08389841765165329, 0.05403084307909012, 0.0842052698135376, 0.2247847020626068, 0.10764794051647186, 0.029850592836737633, 0.13522790372371674, 0.15880030393600464, 0.007370213977992535, -0.31793713569641113, -0.3305942416191101, -0.24692919850349426, -0.4502771198749542, -0.4502753019332886]","[0.38739609718322754, 0.4588976800441742, 0.14371447265148163, 0.06616608053445816, 0.13495640456676483, -0.4595039486885071, -0.17915956676006317, 0.5180102586746216, 0.42311951518058777, 0.6386573910713196, 0.9782668352127075, 1.0220928192138672, 0.8772079944610596, 0.5110430717468262, 0.5648922920227051, 0.7406941652297974, 0.8568837642669678, 0.5148248076438904, 0.2837790250778198, 0.05906115844845772]",20
9523,68,47,20,3,3,1.1442647,74.27294,1.5059905,0.612515878167901,1561.2644,"[1.1930052042007446, 0.8983186483383179, 0.7392452359199524, 0.7662608027458191, 0.8688328862190247, 0.8665719628334045, 1.1413747072219849, 0.9038560390472412, 1.0748189687728882, 0.9791763424873352, 0.8759057521820068, 0.7662464380264282, 0.8000363111495972, 1.1042659282684326, 1.2751531600952148, 1.3584885597229004, 1.3601064682006836, 1.1159857511520386, 0.8202537894248962, 0.7955162525177002]","[0.026969285681843758, 0.09242410957813263, -0.008206412196159363, -0.07798542082309723, 0.0002257567539345473, 0.32239454984664917, 0.3591693937778473, 0.10034451633691788, -0.007799611892551184, -0.002213830593973398, -0.11362902075052261, -0.2996666133403778, -0.40724053978919983, -0.4015272855758667, -0.41759562492370605, -0.4166458547115326, -0.35383760929107666, -0.15613026916980743, -0.0038252242375165224, -0.016622398048639297]","[0.7119247317314148, 0.7007176280021667, 0.49334561824798584, 0.5677611827850342, 0.22250159084796906, -0.07477090507745743, -0.2515396475791931, -0.287723183631897, -0.20425987243652344, -0.0464017391204834, 0.4024716913700104, 0.4659399390220642, 0.3717338740825653, 0.5136666297912598, 0.7684611082077026, 0.6870690584182739, 0.5601744055747986, 0.6141158938407898, 0.41053318977355957, 0.46823573112487793]",20
5766,41,4,40,3,3,1.8098602,72.168175,1.9847841,0.698729591530022,1537.8436,"[1.0980727672576904, 1.1352558135986328, 0.9660931825637817, 0.9802976250648499, 0.8303787112236023, 0.7124987840652466, 0.8182490468025208, 1.1171056032180786, 1.2157297134399414, 1.2284328937530518, 1.3323556184768677, 1.4935195446014404, 1.1269023418426514, 0.8350431323051453, 0.6279951333999634, 0.7748379111289978, 1.1478359699249268, 1.139353632926941, 1.079709768295288, 1.0709837675094604, 1.0407129526138306, 0.7534140348434448, 0.6995683312416077, 0.7846639752388, 1.0237025022506714, 1.077026605606079, 1.2302626371383667, 1.3730857372283936, 1.4119999408721924, 1.0097651481628418, 0.8985375761985779, 0.7100569009780884, 0.8071035146713257, 1.1661865711212158, 1.0397632122039795, 1.0114821195602417, 0.9412769079208374, 0.7963104248046875, 0.7475293278694153, 0.8984679579734802]","[0.7060282230377197, 0.958861768245697, 1.4886668920516968, 1.2558850049972534, 1.161610722541809, 0.893610954284668, 0.8241543173789978, 0.5970375537872314, 0.49395063519477844, 0.5157603025436401, 0.4493829905986786, 0.27127331495285034, 0.32810506224632263, 0.5861212015151978, 0.7270433902740479, 0.7183665633201599, 0.7477842569351196, 0.9053328633308411, 1.1857694387435913, 0.967778205871582, 1.0580976009368896, 0.9722781181335449, 0.7651268243789673, 0.5703871846199036, 0.4354315400123596, 0.4939388334751129, 0.5621787905693054, 0.48724034428596497, 0.44137459993362427, 0.5203108787536621, 0.6515496373176575, 0.7994151711463928, 0.8169712424278259, 0.8796812891960144, 1.1302170753479004, 1.170681357383728, 1.1373926401138306, 1.0278303623199463, 0.8968774676322937, 0.6450241804122925]","[0.4234522581100464, 0.586482584476471, 0.7679868340492249, 0.6216904520988464, 0.5015220642089844, 0.38038259744644165, 0.2664203643798828, 0.2506861090660095, -0.046640727669000626, -0.16474826633930206, -0.18360787630081177, -0.09301415085792542, 0.05768990516662598, 0.49592405557632446, 0.2860032618045807, 0.3246307373046875, 0.49403101205825806, 0.5672831535339355, 0.6815162301063538, 0.553310215473175, 0.4015551209449768, 0.2717434763908386, 0.22349406778812408, 0.21825434267520905, 0.05844496935606003, -0.43600577116012573, -0.4985896050930023, -0.17381256818771362, 0.2663414180278778, 0.4323199391365051, 0.3241453766822815, 0.4751555025577545, 0.4980142414569855, 0.6039924621582031, 0.6584662199020386, 0.5538015365600586, 0.29643237590789795, 0.3941955268383026, 0.25315770506858826, 0.1416458636522293]",40
5767,41,6,40,3,3,1.8495464,71.56416,1.9915876,0.7379068317972881,1527.9263,"[0.9660931825637817, 0.9802976250648499, 0.8303787112236023, 0.7124987840652466, 0.8182490468025208, 1.1171056032180786, 1.2157297134399414, 1.2284328937530518, 1.3323556184768677, 1.4935195446014404, 1.1269023418426514, 0.8350431323051453, 0.6279951333999634, 0.7748379111289978, 1.1478359699249268, 1.139353632926941, 1.079709768295288, 1.0709837675094604, 1.0407129526138306, 0.7534140348434448, 0.6995683312416077, 0.7846639752388, 1.0237025022506714, 1.077026605606079, 1.2302626371383667, 1.3730857372283936, 1.4119999408721924, 1.0097651481628418, 0.8985375761985779, 0.7100569009780884, 0.8071035146713257, 1.1661865711212158, 1.0397632122039795, 1.0114821195602417, 0.9412769079208374, 0.7963104248046875, 0.7475293278694153, 0.8984679579734802, 1.035722017288208, 1.2586934566497803]","[1.4886668920516968, 1.2558850049972534, 1.161610722541809, 0.893610954284668, 0.8241543173789978, 0.5970375537872314, 0.49395063519477844, 0.5157603025436401, 0.4493829905986786, 0.27127331495285034, 0.32810506224632263, 0.5861212015151978, 0.7270433902740479, 0.7183665633201599, 0.7477842569351196, 0.9053328633308411, 1.1857694387435913, 0.967778205871582, 1.0580976009368896, 0.9722781181335449, 0.7651268243789673, 0.5703871846199036, 0.4354315400123596, 0.4939388334751129, 0.5621787905693054, 0.48724034428596497, 0.44137459993362427, 0.5203108787536621, 0.6515496373176575, 0.7994151711463928, 0.8169712424278259, 0.8796812891960144, 1.1302170753479004, 1.170681357383728, 1.1373926401138306, 1.0278303623199463, 0.8968774676322937, 0.6450241804122925, 0.4958913028240204, 0.4135075509548187]","[0.7679868340492249, 0.6216904520988464, 0.5015220642089844, 0.38038259744644165, 0.2664203643798828, 0.2506861090660095, -0.046640727669000626, -0.16474826633930206, -0.18360787630081177, -0.09301415085792542, 0.05768990516662598, 0.49592405557632446, 0.2860032618045807, 0.3246307373046875, 0.49403101205825806, 0.5672831535339355, 0.6815162301063538, 0.553310215473175, 0.4015551209449768, 0.2717434763908386, 0.22349406778812408, 0.21825434267520905, 0.05844496935606003, -0.43600577116012573, -0.4985896050930023, -0.17381256818771362, 0.2663414180278778, 0.4323199391365051, 0.3241453766822815, 0.4751555025577545, 0.4980142414569855, 0.6039924621582031, 0.6584662199020386, 0.5538015365600586, 0.29643237590789795, 0.3941955268383026, 0.25315770506858826, 0.1416458636522293, -0.039127200841903687, -0.19937966763973236]",40
5768,41,25,40,3,3,1.6778917,70.52664,2.015418,0.7396652083800659,1507.9786,"[0.7534140348434448, 0.6995683312416077, 0.7846639752388, 1.0237025022506714, 1.077026605606079, 1.2302626371383667, 1.3730857372283936, 1.4119999408721924, 1.0097651481628418, 0.8985375761985779, 0.7100569009780884, 0.8071035146713257, 1.1661865711212158, 1.0397632122039795, 1.0114821195602417, 0.9412769079208374, 0.7963104248046875, 0.7475293278694153, 0.8984679579734802, 1.035722017288208, 1.2586934566497803, 1.2647255659103394, 1.310532808303833, 1.4569873809814453, 1.0622965097427368, 0.7561209797859192, 0.6688883900642395, 0.6222333312034607, 1.0579949617385864, 1.158835768699646, 1.0451911687850952, 1.3335801362991333, 1.093196988105774, 0.7032861709594727, 0.6817469000816345, 0.9290727376937866, 1.1630444526672363, 1.3792728185653687, 1.3498705625534058, 1.3560835123062134]","[0.9722781181335449, 0.7651268243789673, 0.5703871846199036, 0.4354315400123596, 0.4939388334751129, 0.5621787905693054, 0.48724034428596497, 0.44137459993362427, 0.5203108787536621, 0.6515496373176575, 0.7994151711463928, 0.8169712424278259, 0.8796812891960144, 1.1302170753479004, 1.170681357383728, 1.1373926401138306, 1.0278303623199463, 0.8968774676322937, 0.6450241804122925, 0.4958913028240204, 0.4135075509548187, 0.35833221673965454, 0.46438801288604736, 0.5090044140815735, 0.44351235032081604, 0.3436334729194641, 0.526016116142273, 0.9597256183624268, 1.284958839416504, 1.259865164756775, 1.1246767044067383, 1.1574456691741943, 1.156736135482788, 0.8453859090805054, 0.657930850982666, 0.4827406108379364, 0.2818221151828766, 0.2576436698436737, 0.3723132014274597, 0.6375938057899475]","[0.2717434763908386, 0.22349406778812408, 0.21825434267520905, 0.05844496935606003, -0.43600577116012573, -0.4985896050930023, -0.17381256818771362, 0.2663414180278778, 0.4323199391365051, 0.3241453766822815, 0.4751555025577545, 0.4980142414569855, 0.6039924621582031, 0.6584662199020386, 0.5538015365600586, 0.29643237590789795, 0.3941955268383026, 0.25315770506858826, 0.1416458636522293, -0.039127200841903687, -0.19937966763973236, -0.07381641119718552, -0.09642425924539566, 0.4320029616355896, 0.6997222900390625, 0.5884702801704407, 0.4209568202495575, 0.4139510989189148, 0.770267128944397, 0.723525881767273, 0.7844787836074829, 0.3462388217449188, 0.32111626863479614, 0.15633250772953033, 0.15676727890968323, -0.31926217675209045, -0.6808797717094421, -0.4407714605331421, -0.15471981465816498, 0.2989383041858673]",40
13742,98,14,40,1,1,1.8139853,57.961845,2.046445,0.60058966966831,1250.6598,"[-0.6721144914627075, -0.42925071716308594, 0.47070011496543884, 0.9077776074409485, 0.7447984218597412, 0.8494732975959778, 1.7258951663970947, 3.129696846008301, 1.4313507080078125, -0.4120476543903351, -1.0765676498413086, -0.8722302913665771, -0.5726093053817749, -0.0009203077061101794, 0.9221256375312805, 0.9034460783004761, 0.6545132994651794, 0.8503585457801819, 1.6988102197647095, 2.776022434234619, 0.8765653371810913, -0.8563973307609558, -1.0374445915222168, -0.7182776927947998, -0.4713160991668701, 0.605201244354248, 0.8332086205482483, 0.8065185546875, 0.9517718553543091, 1.4528824090957642, 2.799609661102295, 1.681835651397705, -0.31274569034576416, -0.9616674184799194, -0.9198942184448242, -0.5933415293693542, 0.25926896929740906, 1.0898241996765137, 0.6974144577980042, 0.48475897312164307]","[-1.144248604774475, -3.3300862312316895, -1.7437350749969482, 0.8053964376449585, 1.5360748767852783, 1.1752922534942627, -0.49079129099845886, -2.638122797012329, -1.5284523963928223, -0.5641465187072754, -0.05013921484351158, 0.07716283947229385, -2.002429246902466, -2.9077308177948, -1.185036063194275, 0.956865668296814, 1.690618872642517, 1.1874690055847168, -2.0334279537200928, -2.210310697555542, -0.9173915386199951, -0.05628484860062599, -0.01694674789905548, -0.9352356195449829, -2.9304728507995605, -2.5584700107574463, -0.3987651765346527, 1.1189711093902588, 1.4005330801010132, 0.7149674296379089, -2.3213205337524414, -2.1176867485046387, -0.4043092131614685, 0.06419640779495239, -0.1594616323709488, -1.5741647481918335, -2.9126994609832764, -1.1956894397735596, 0.8990274667739868, 1.6234194040298462]","[1.3391848802566528, 1.4394975900650024, 1.1784820556640625, 2.3960154056549072, 0.755454957485199, 0.130265012383461, -0.6887654662132263, -0.7356976270675659, 0.6626425981521606, 2.157428503036499, 1.8894256353378296, 0.7785048484802246, 0.8366853594779968, 0.8740645051002502, 3.3798513412475586, 2.1827595233917236, 0.865702211856842, 0.16579268872737885, -0.09194628894329071, 0.3520109951496124, 2.5878467559814453, 2.665422201156616, 1.5435049533843994, 0.7757062911987305, 0.8106274604797363, 1.5659314393997192, 2.681077718734741, 1.423043131828308, 0.3196844458580017, -0.5139448046684265, -0.8049023151397705, 1.8650161027908325, 2.705738067626953, 1.8393586874008179, 0.9694323539733887, 0.8441859483718872, 0.9612336158752441, 3.3382482528686523, 1.9778614044189453, 0.790302574634552]",40
13758,98,24,50,1,1,1.933146,57.34564,2.3628688,0.6516393191668091,1250.3807,"[-1.0765676498413086, -0.8722302913665771, -0.5726093053817749, -0.0009203077061101794, 0.9221256375312805, 0.9034460783004761, 0.6545132994651794, 0.8503585457801819, 1.6988102197647095, 2.776022434234619, 0.8765653371810913, -0.8563973307609558, -1.0374445915222168, -0.7182776927947998, -0.4713160991668701, 0.605201244354248, 0.8332086205482483, 0.8065185546875, 0.9517718553543091, 1.4528824090957642, 2.799609661102295, 1.681835651397705, -0.31274569034576416, -0.9616674184799194, -0.9198942184448242, -0.5933415293693542, 0.25926896929740906, 1.0898241996765137, 0.6974144577980042, 0.48475897312164307, 0.6590756177902222, 1.785886287689209, 3.277430534362793, 0.9845513105392456, -1.1225616931915283, -1.1615960597991943, -0.781636655330658, -0.192452073097229, 0.7349598407745361, 0.8790185451507568, 0.6671074628829956, 0.7798129916191101, 1.4654682874679565, 2.9328360557556152, 1.3660154342651367, -0.962663471698761, -1.2177778482437134, -0.823808491230011, -0.37887445092201233, 0.6607478857040405]","[-0.05013921484351158, 0.07716283947229385, -2.002429246902466, -2.9077308177948, -1.185036063194275, 0.956865668296814, 1.690618872642517, 1.1874690055847168, -2.0334279537200928, -2.210310697555542, -0.9173915386199951, -0.05628484860062599, -0.01694674789905548, -0.9352356195449829, -2.9304728507995605, -2.5584700107574463, -0.3987651765346527, 1.1189711093902588, 1.4005330801010132, 0.7149674296379089, -2.3213205337524414, -2.1176867485046387, -0.4043092131614685, 0.06419640779495239, -0.1594616323709488, -1.5741647481918335, -2.9126994609832764, -1.1956894397735596, 0.8990274667739868, 1.6234194040298462, 1.0633362531661987, -1.5969196557998657, -2.259089708328247, -1.0716091394424438, -0.4299977719783783, -0.416836678981781, -0.770781934261322, -2.3033676147460938, -2.0930047035217285, -0.09449803829193115, 1.3804380893707275, 1.4841238260269165, 0.5697987079620361, -2.2793643474578857, -1.6180131435394287, -0.5682008266448975, -0.19464391469955444, -0.14700250327587128, -2.212578058242798, -2.3433098793029785]","[1.8894256353378296, 0.7785048484802246, 0.8366853594779968, 0.8740645051002502, 3.3798513412475586, 2.1827595233917236, 0.865702211856842, 0.16579268872737885, -0.09194628894329071, 0.3520109951496124, 2.5878467559814453, 2.665422201156616, 1.5435049533843994, 0.7757062911987305, 0.8106274604797363, 1.5659314393997192, 2.681077718734741, 1.423043131828308, 0.3196844458580017, -0.5139448046684265, -0.8049023151397705, 1.8650161027908325, 2.705738067626953, 1.8393586874008179, 0.9694323539733887, 0.8441859483718872, 0.9612336158752441, 3.3382482528686523, 1.9778614044189453, 0.790302574634552, -0.10198355466127396, -0.43419909477233887, 0.925851047039032, 2.395678997039795, 1.7772186994552612, 1.1143457889556885, 0.6761893033981323, 0.8397401571273804, 1.8703771829605103, 2.38315486907959, 1.1332318782806396, 0.07171966135501862, -0.2633349299430847, -0.10169562697410583, 2.4242782592773438, 3.2440929412841797, 1.9827752113342285, 0.928991973400116, 0.5239282250404358, 1.1476058959960938]",50
10397,74,8,50,1,1,2.0965967,57.57056,2.23975,0.625823822102269,1249.8949,"[-0.18651145696640015, -0.8180832862854004, -0.7120583653450012, -0.4473668932914734, 0.25424474477767944, 0.7119153141975403, 0.429819256067276, 0.505867063999176, 0.5831919312477112, 1.3337937593460083, 1.7960277795791626, 0.4656343162059784, -0.6398658156394958, -0.7247726917266846, -0.6383070349693298, -0.5073853731155396, 0.4267015755176544, 0.7641090154647827, 0.5744360685348511, 0.5228025913238525, 0.911967933177948, 1.944929599761963, 0.9702468514442444, -0.13591913878917694, -0.624353289604187, -0.6330440044403076, -0.6505076289176941, 0.0007191128679551184, 0.6974276304244995, 0.836662769317627, 0.6242163181304932, 0.7510456442832947, 1.3047794103622437, 1.919206976890564, 0.6507828831672668, -0.4825282394886017, -0.813058614730835, -0.6242890954017639, -0.22115056216716766, 0.5563973784446716, 0.6037478446960449, 0.43638455867767334, 0.4417860507965088, 0.9109264612197876, 1.7593475580215454, 1.2247544527053833, -0.034468770027160645, -0.6435937881469727, -0.6747074127197266, -0.5364872813224792]","[-2.0227749347686768, -0.7383409738540649, -0.18022647500038147, 0.06497102975845337, -0.5838392972946167, -2.2395482063293457, -1.7212531566619873, -0.5224147439002991, 0.4135417342185974, 1.057563066482544, 0.2848982810974121, -2.3495638370513916, -1.830889344215393, -0.5236356258392334, 0.03010471723973751, 0.12769044935703278, -1.3580580949783325, -2.563426971435547, -1.2267473936080933, 0.15181711316108704, 0.8745259642601013, 0.8745676279067993, -1.7339515686035156, -2.025908946990967, -0.9217002391815186, -0.23395173251628876, 0.0448923334479332, -0.21186666190624237, -2.2533631324768066, -2.2134835720062256, -0.6185472011566162, 0.7132387161254883, 1.0304449796676636, 0.14680121839046478, -2.322567939758301, -1.703070878982544, -0.46718108654022217, -0.18915770947933197, -0.046526845544576645, -1.5831040143966675, -2.416745662689209, -1.313171625137329, -0.14975033700466156, 0.8353045582771301, 1.040656566619873, -1.303269624710083, -2.366093635559082, -1.0672129392623901, -0.26982760429382324, 0.18834298849105835]","[0.6360687613487244, 0.78090500831604, 0.6623724699020386, 0.7005220651626587, 0.1999102532863617, 0.011890525929629803, -0.164807990193367, -0.23996734619140625, 0.5021419525146484, 1.3305437564849854, 0.9398824572563171, 0.6073445081710815, 0.8225856423377991, 0.6274207234382629, 1.058988332748413, 0.7315455675125122, 0.24895302951335907, -0.1988205909729004, -0.36925753951072693, 0.054301802068948746, 1.2644318342208862, 1.1138757467269897, 0.8841386437416077, 0.705165684223175, 0.7566298842430115, 0.9944823980331421, 1.091835379600525, 0.7316733002662659, 0.3818485736846924, -0.04470408335328102, 0.09329593926668167, 1.0404024124145508, 1.1635760068893433, 0.8600887656211853, 0.8740739226341248, 0.9720607399940491, 0.8677117824554443, 1.234228491783142, 0.6949964761734009, 0.2226608395576477, -0.03824770823121071, -0.12578432261943817, 0.09145248681306839, 0.8377127051353455, 0.7267331480979919, 0.6300191283226013, 0.7441636323928833, 1.0374119281768799, 0.514513373374939, 0.26009970903396606]",50
12205,87,99,40,1,1,1.7430849,58.15231,1.8527617,0.5886253536739412,1248.0603,"[0.4582037627696991, 0.9611087441444397, 0.9028273820877075, 0.7867656350135803, -1.5982873439788818, -1.354462742805481, -1.1833672523498535, -1.2403894662857056, -1.2947478294372559, -2.1450464725494385, -1.7589894533157349, -0.17854204773902893, 0.8186097741127014, 1.022713541984558, 0.8215599656105042, -0.780971884727478, -1.911348819732666, -1.5669265985488892, -1.5821396112442017, -1.280397653579712, -1.2206755876541138, -2.4645440578460693, -0.9703711271286011, 0.2229967564344406, 0.7542120814323425, 1.0000680685043335, 0.9349524974822998, -0.49452295899391174, -1.2809697389602661, -1.3683888912200928, -1.493599534034729, -1.212735652923584, -1.3430031538009644, -2.5051891803741455, -0.8279075026512146, 0.48176294565200806, 0.9470691680908203, 0.9623947143554688, 0.7706576585769653, -1.9267791509628296]","[1.0779515504837036, 0.18865402042865753, -2.3109281063079834, -1.7821449041366577, 0.150165393948555, 0.7567116022109985, 0.7278080582618713, -1.5188623666763306, -2.7331533432006836, -1.3517794609069824, 0.5476838946342468, 1.0461812019348145, 0.705357015132904, -1.41875159740448, -2.533937692642212, -0.6315443515777588, 0.34742122888565063, 0.6544459462165833, 0.35276323556900024, -2.1638710498809814, -3.2045676708221436, -0.6934637427330017, 0.8075241446495056, 0.8355745077133179, 0.7313259243965149, -2.012415647506714, -2.614767074584961, -0.43239477276802063, 0.5234628319740295, 0.7059684991836548, -0.8852642774581909, -3.1567800045013428, -1.9613326787948608, 0.1218063160777092, 1.289526343345642, 1.0624427795410156, 0.2144259661436081, -3.0024001598358154, -1.8664249181747437, 0.2920606732368469]","[-1.1917353868484497, -0.2873494327068329, 0.145642951130867, 0.37997889518737793, 0.2531990706920624, 0.32240819931030273, 0.3646775782108307, -0.3348546624183655, -0.0639420747756958, -0.8381565809249878, -0.6047884821891785, -0.11369013041257858, -0.8717760443687439, 0.14540299773216248, 0.05460100993514061, 0.8221563100814819, 0.27878743410110474, 0.1191873848438263, 0.3523588180541992, -0.37289032340049744, -0.08850400894880295, -0.46063536405563354, -0.9313948154449463, 0.11305487155914307, -1.2243345975875854, 0.17007870972156525, 0.30308276414871216, 0.6873329281806946, 0.37539318203926086, 0.3728872537612915, 0.4287317991256714, -0.2426045686006546, -0.24657568335533142, -0.9674378037452698, -0.2965833842754364, -1.0724729299545288, 0.2530462145805359, 0.18715812265872955, 0.4398542642593384, 0.5114336013793945]",40
10382,74,42,40,1,1,1.7573733,57.890358,1.8992071,0.6347938028043365,1246.5231,"[0.6507828831672668, -0.4825282394886017, -0.813058614730835, -0.6242890954017639, -0.22115056216716766, 0.5563973784446716, 0.6037478446960449, 0.43638455867767334, 0.4417860507965088, 0.9109264612197876, 1.7593475580215454, 1.2247544527053833, -0.034468770027160645, -0.6435937881469727, -0.6747074127197266, -0.5364872813224792, -0.34605175256729126, 0.4353106915950775, 0.5683810114860535, 0.5821173191070557, 0.5790776610374451, 0.9301981329917908, 2.107693910598755, 1.1943308115005493, 0.07402951270341873, -0.5802762508392334, -0.9737058281898499, -0.4615887999534607, 0.7367063760757446, 1.210858941078186, 0.6784458756446838, 0.29764577746391296, 0.6117327213287354, 1.6769397258758545, 1.9706370830535889, 0.6713830232620239, -0.3384806215763092, -0.7892698645591736, -0.6367486119270325, 0.14183016121387482]","[-2.322567939758301, -1.703070878982544, -0.46718108654022217, -0.18915770947933197, -0.046526845544576645, -1.5831040143966675, -2.416745662689209, -1.313171625137329, -0.14975033700466156, 0.8353045582771301, 1.040656566619873, -1.303269624710083, -2.366093635559082, -1.0672129392623901, -0.26982760429382324, 0.18834298849105835, -0.21588224172592163, -2.086564779281616, -2.2769525051116943, -0.9842125177383423, 0.2576436698436737, 1.0051017999649048, 0.8919925689697266, -1.557281494140625, -1.9029436111450195, -0.8466048836708069, -0.22722595930099487, 0.11058121174573898, -0.8610543012619019, -2.4014768600463867, -1.4917142391204834, -0.2189156860113144, 0.7253338098526001, 1.1567617654800415, 0.14764177799224854, -1.8588321208953857, -1.1383343935012817, -0.4863013029098511, -0.023945383727550507, 0.015093054622411728]","[0.8740739226341248, 0.9720607399940491, 0.8677117824554443, 1.234228491783142, 0.6949964761734009, 0.2226608395576477, -0.03824770823121071, -0.12578432261943817, 0.09145248681306839, 0.8377127051353455, 0.7267331480979919, 0.6300191283226013, 0.7441636323928833, 1.0374119281768799, 0.514513373374939, 0.26009970903396606, 0.11990808695554733, 0.03951277956366539, -0.07547815144062042, -0.15816667675971985, 0.2803069055080414, 0.8640044927597046, 0.892213761806488, 0.8489978313446045, 0.6145498752593994, 0.3907567858695984, 0.49522143602371216, 0.4273647665977478, 0.475620299577713, 0.2144152969121933, 0.020542927086353302, -0.023282188922166824, 0.6179249286651611, 0.7735171914100647, 0.8904837369918823, 0.8377932906150818, 0.8319302201271057, 0.8018640875816345, 0.7977694869041443, 0.5217106342315674]",40
