id,series_id,start,length,true_class,pred_class,confidence,F_stat,Separability,IG,Composite_Score,dim_0,dim_1,Shapelet_Length
7799,129,1,29,2,2,0.82768106,47.662678,5.8976116,0.7326626042713502,1166.8151,"[0.33945706486701965, 0.3336799740791321, 0.34172382950782776, 0.35713639855384827, 0.3598622679710388, 0.27960404753685, 0.005155693273991346, -0.3047986626625061, -0.6427528858184814, -0.8509470224380493, -0.9673848748207092, -0.8899638056755066, -0.8015609383583069, -0.6279603838920593, -0.40435218811035156, -0.0971679612994194, 0.18868836760520935, 0.43227648735046387, 0.6721341013908386, 0.7976648211479187, 0.7462864518165588, 0.6834256052970886, 0.5539806485176086, 0.4234226644039154, 0.2551541030406952, 0.02835976891219616, -0.19793958961963654, -0.38394150137901306, -0.564588189125061]","[1.2222625017166138, 1.2528175115585327, 1.2523976564407349, 1.282702088356018, 1.3191617727279663, 1.3187577724456787, 1.161718726158142, 0.9814417958259583, 0.7495636343955994, 0.5566192865371704, 0.5126364231109619, 0.5265843868255615, 0.5206647515296936, 0.5675786137580872, 0.6954876780509949, 0.6374659538269043, 0.5486761331558228, 0.4849613904953003, 0.48465612530708313, 0.5441390872001648, 0.4888732433319092, 0.44297435879707336, 0.29689711332321167, 0.1122516617178917, -0.10176031291484833, -0.26544150710105896, -0.34488344192504883, -0.4209238886833191, -0.450223833322525]",29
7798,129,0,29,2,2,0.82592154,47.68767,5.61104,0.7207690454661384,1158.123,"[0.33662402629852295, 0.33945706486701965, 0.3336799740791321, 0.34172382950782776, 0.35713639855384827, 0.3598622679710388, 0.27960404753685, 0.005155693273991346, -0.3047986626625061, -0.6427528858184814, -0.8509470224380493, -0.9673848748207092, -0.8899638056755066, -0.8015609383583069, -0.6279603838920593, -0.40435218811035156, -0.0971679612994194, 0.18868836760520935, 0.43227648735046387, 0.6721341013908386, 0.7976648211479187, 0.7462864518165588, 0.6834256052970886, 0.5539806485176086, 0.4234226644039154, 0.2551541030406952, 0.02835976891219616, -0.19793958961963654, -0.38394150137901306]","[1.2314934730529785, 1.2222625017166138, 1.2528175115585327, 1.2523976564407349, 1.282702088356018, 1.3191617727279663, 1.3187577724456787, 1.161718726158142, 0.9814417958259583, 0.7495636343955994, 0.5566192865371704, 0.5126364231109619, 0.5265843868255615, 0.5206647515296936, 0.5675786137580872, 0.6954876780509949, 0.6374659538269043, 0.5486761331558228, 0.4849613904953003, 0.48465612530708313, 0.5441390872001648, 0.4888732433319092, 0.44297435879707336, 0.29689711332321167, 0.1122516617178917, -0.10176031291484833, -0.26544150710105896, -0.34488344192504883, -0.4209238886833191]",29
9171,152,12,29,4,2,0.06645489,45.63217,5.125599,0.7402877012376265,1103.4258,"[0.34293609857559204, 0.3956610858440399, 0.2896406948566437, 0.1352304369211197, -0.029525276273489, -0.25804704427719116, -0.4628938138484955, -0.6595518589019775, -0.8236227035522461, -1.0400173664093018, -1.2044533491134644, -1.3222134113311768, -1.3800644874572754, -1.3967835903167725, -1.3013787269592285, -1.0893160104751587, -0.8001352548599243, -0.47660040855407715, -0.19296935200691223, 0.08410011976957321, 0.2916410267353058, 0.30943745374679565, 0.20990991592407227, 0.10702323168516159, -0.020463941618800163, -0.2296426147222519, -0.4753531515598297, -0.714746356010437, -0.9367530941963196]","[0.6605885028839111, 0.5340439677238464, 0.20202268660068512, -0.031667280942201614, -0.11416569352149963, -0.18223756551742554, -0.18678440153598785, -0.14916950464248657, -0.06132260337471962, -0.13291463255882263, -0.2335527092218399, -0.32838377356529236, -0.5219676494598389, -0.8096184134483337, -1.06170654296875, -1.208984136581421, -1.255518913269043, -1.1586511135101318, -0.9303206205368042, -0.775231659412384, -0.6270518898963928, -0.699068009853363, -0.9654014110565186, -1.1565440893173218, -1.3732587099075317, -1.5933619737625122, -1.7335808277130127, -1.765468716621399, -1.7903798818588257]",29
2560,42,10,24,9,9,0.41977763,45.75829,5.0123315,0.658034091295673,1098.4375,"[-0.8300191760063171, -0.9466469287872314, -1.0661383867263794, -1.1659374237060547, -1.2607604265213013, -1.3540198802947998, -1.4607383012771606, -1.5865229368209839, -1.6968564987182617, -1.7713005542755127, -1.8037265539169312, -1.690699815750122, -1.6735392808914185, -1.646065354347229, -1.589005470275879, -1.5055079460144043, -1.3879002332687378, -1.2415132522583008, -1.1068161725997925, -0.9386642575263977, -0.76119065284729, -0.6098828911781311, -0.47485798597335815, -0.30259865522384644]","[-1.7543646097183228, -1.6673529148101807, -1.5101072788238525, -1.3832017183303833, -1.2872813940048218, -1.1923243999481201, -1.0970875024795532, -1.002590298652649, -0.8890673518180847, -0.7830620408058167, -0.6822761297225952, -0.8790736794471741, -0.7684400081634521, -0.6722580194473267, -0.5374705791473389, -0.3479284346103668, -0.10929130017757416, 0.11075279861688614, 0.3664579689502716, 0.6202718615531921, 0.8454364538192749, 1.0517613887786865, 1.250463843345642, 1.413162112236023]",24
2869,47,13,24,9,9,0.60036147,44.92402,5.5086966,0.6064570652628609,1094.0641,"[-0.47884267568588257, -0.6068580746650696, -0.7820767164230347, -0.9987183213233948, -1.2102926969528198, -1.430675983428955, -1.6125065088272095, -1.7311007976531982, -1.7971184253692627, -1.8222508430480957, -1.8471087217330933, -1.8529247045516968, -1.8424134254455566, -1.8094972372055054, -1.7742034196853638, -1.7091928720474243, -1.6427370309829712, -1.5042626857757568, -1.3466465473175049, -1.148074746131897, -0.95478355884552, -0.7390568256378174, -0.5420832633972168, -0.38468581438064575]","[-0.7396600246429443, -0.7592431306838989, -0.71689772605896, -0.6923916935920715, -0.6296910047531128, -0.5379258394241333, -0.4274784326553345, -0.3407818377017975, -0.3505639135837555, -0.29648861289024353, -0.20331406593322754, -0.08888654410839081, 0.02135702595114708, 0.2498205155134201, 0.44068726897239685, 0.6027271151542664, 0.7934173345565796, 0.9711610078811646, 1.130482792854309, 1.2661452293395996, 1.3825479745864868, 1.4518096446990967, 1.464831829071045, 1.5174856185913086]",24
6034,100,24,19,14,9,0.31780887,47.01369,3.8717601,0.5739556108677157,1085.1244,"[1.1272834539413452, 1.070278286933899, 0.8607668280601501, 0.8456900715827942, 1.094650387763977, 1.2065995931625366, 1.0199671983718872, 0.8101546764373779, 0.8509592413902283, 1.0117309093475342, 1.0121464729309082, 0.8610983490943909, 0.7920939326286316, 0.930808961391449, 1.0551304817199707, 1.0091006755828857, 0.8578696846961975, 0.8673771619796753, 1.0048611164093018]","[-0.47559231519699097, -0.5018250942230225, -0.5152817964553833, -0.5020111203193665, -0.4524218440055847, -0.41873669624328613, -0.4274226427078247, -0.3972729444503784, -0.3610755503177643, -0.3317006826400757, -0.2980610728263855, -0.29706743359565735, -0.2679652273654938, -0.23142504692077637, -0.16155824065208435, -0.13301420211791992, -0.11954798549413681, -0.07351383566856384, -0.04852161183953285]",19
7553,125,0,29,2,2,0.6201365,43.771614,5.523505,0.6740878338477598,1074.8418,"[-0.592644453048706, -0.6028987765312195, -0.6389509439468384, -0.6988803148269653, -0.8433694243431091, -1.0390139818191528, -1.3637440204620361, -1.624405860900879, -1.7485346794128418, -1.8651472330093384, -1.8760309219360352, -1.7758421897888184, -1.6152307987213135, -1.4157801866531372, -1.218610167503357, -0.9762952923774719, -0.7395095825195312, -0.4814147353172302, -0.24518346786499023, -0.03643913194537163, 0.03543813154101372, -0.010814880020916462, -0.11745138466358185, -0.27242231369018555, -0.48932233452796936, -0.7555621266365051, -1.0311384201049805, -1.285014271736145, -1.5449237823486328]","[1.1449774503707886, 1.1480873823165894, 1.1415153741836548, 1.1037184000015259, 1.0208638906478882, 0.8542835116386414, 0.6516363620758057, 0.477104514837265, 0.30429109930992126, 0.22368420660495758, 0.19469010829925537, 0.18153131008148193, 0.16480174660682678, 0.21230220794677734, 0.28326401114463806, 0.34589532017707825, 0.2905299663543701, 0.20561136305332184, 0.11858461052179337, 0.11364446580410004, 0.07837352901697159, -0.024123506620526314, -0.12338094413280487, -0.26584893465042114, -0.38277488946914673, -0.5018250942230225, -0.5933232307434082, -0.7376688122749329, -0.8618279099464417]",29
2573,42,7,29,9,9,0.45631576,43.00207,6.0417747,0.6343827606181645,1073.0138,"[-0.4649081528186798, -0.5787920355796814, -0.7060055732727051, -0.8300191760063171, -0.9466469287872314, -1.0661383867263794, -1.1659374237060547, -1.2607604265213013, -1.3540198802947998, -1.4607383012771606, -1.5865229368209839, -1.6968564987182617, -1.7713005542755127, -1.8037265539169312, -1.690699815750122, -1.6735392808914185, -1.646065354347229, -1.589005470275879, -1.5055079460144043, -1.3879002332687378, -1.2415132522583008, -1.1068161725997925, -0.9386642575263977, -0.76119065284729, -0.6098828911781311, -0.47485798597335815, -0.30259865522384644, -0.1325111985206604, 0.04972749575972557]","[-1.9058791399002075, -1.903015375137329, -1.8799530267715454, -1.7543646097183228, -1.6673529148101807, -1.5101072788238525, -1.3832017183303833, -1.2872813940048218, -1.1923243999481201, -1.0970875024795532, -1.002590298652649, -0.8890673518180847, -0.7830620408058167, -0.6822761297225952, -0.8790736794471741, -0.7684400081634521, -0.6722580194473267, -0.5374705791473389, -0.3479284346103668, -0.10929130017757416, 0.11075279861688614, 0.3664579689502716, 0.6202718615531921, 0.8454364538192749, 1.0517613887786865, 1.250463843345642, 1.413162112236023, 1.4814704656600952, 1.493483304977417]",29
4135,68,3,29,11,11,0.31817794,42.77669,6.159833,0.6277372419372238,1071.7157,"[-0.12076699733734131, -0.16438676416873932, -0.233903169631958, -0.3571747839450836, -0.527554452419281, -0.7052462100982666, -0.874570369720459, -1.0706079006195068, -1.2576085329055786, -1.490906834602356, -1.6864523887634277, -1.7986814975738525, -1.8288815021514893, -1.9115134477615356, -1.974483847618103, -2.156543731689453, -2.125650405883789, -1.9851971864700317, -1.690699815750122, -1.3073800802230835, -1.009504795074463, -0.7312389612197876, -0.4729909598827362, -0.15541481971740723, 0.17170606553554535, 0.44844597578048706, 0.7225245237350464, 0.976240336894989, 1.1838635206222534]","[-1.4855914115905762, -1.5103121995925903, -1.5957049131393433, -1.6832600831985474, -1.7347396612167358, -1.7540713548660278, -1.727677583694458, -1.6151378154754639, -1.4052106142044067, -1.1215237379074097, -0.8334893584251404, -0.6780019998550415, -0.5910637378692627, -0.6200822591781616, -0.37612974643707275, -0.06463680416345596, 0.330107182264328, 0.6993939876556396, 1.0018703937530518, 1.1823692321777344, 1.3911895751953125, 1.628136157989502, 1.8987637758255005, 2.2015295028686523, 2.3418307304382324, 2.3821940422058105, 2.3361523151397705, 2.30688214302063, 2.2014904022216797]",29
9174,152,14,29,4,2,0.21106935,43.403538,5.4277306,0.7730443498745605,1069.5548,"[0.2896406948566437, 0.1352304369211197, -0.029525276273489, -0.25804704427719116, -0.4628938138484955, -0.6595518589019775, -0.8236227035522461, -1.0400173664093018, -1.2044533491134644, -1.3222134113311768, -1.3800644874572754, -1.3967835903167725, -1.3013787269592285, -1.0893160104751587, -0.8001352548599243, -0.47660040855407715, -0.19296935200691223, 0.08410011976957321, 0.2916410267353058, 0.30943745374679565, 0.20990991592407227, 0.10702323168516159, -0.020463941618800163, -0.2296426147222519, -0.4753531515598297, -0.714746356010437, -0.9367530941963196, -1.0993865728378296, -1.132993459701538]","[0.20202268660068512, -0.031667280942201614, -0.11416569352149963, -0.18223756551742554, -0.18678440153598785, -0.14916950464248657, -0.06132260337471962, -0.13291463255882263, -0.2335527092218399, -0.32838377356529236, -0.5219676494598389, -0.8096184134483337, -1.06170654296875, -1.208984136581421, -1.255518913269043, -1.1586511135101318, -0.9303206205368042, -0.775231659412384, -0.6270518898963928, -0.699068009853363, -0.9654014110565186, -1.1565440893173218, -1.3732587099075317, -1.5933619737625122, -1.7335808277130127, -1.765468716621399, -1.7903798818588257, -1.8201308250427246, -1.9548559188842773]",29
