id,series_id,start,length,true_class,pred_class,confidence,F_stat,Separability,IG,Composite_Score,Shapelet_Values
2574,85,6,13,3,3,1.3380313,109.84191,1.4814272,0.7470093180932331,148.67381,"[1.4839460849761963, 1.8453069925308228, 1.3989970684051514, 0.4578484296798706, 0.566691517829895, 0.24833856523036957, 0.022415393963456154, -0.4744058847427368, -0.6475057601928711, -0.495747834444046, -0.5717138051986694, -0.5118767023086548, -0.765691876411438, 0.3078846335411072, 2.724440813064575, 1.2519912719726562, 0.6471554040908813, -0.4632449746131897, -0.05764906480908394, -0.023528898134827614, 0.10134758800268173, -0.1308167278766632, -0.26600778102874756, -0.5409797430038452, -0.5460050106048584, -0.1397417187690735, -0.23366297781467438, 0.2409256100654602, -0.085228830575943, 0.2599925398826599, -0.373737096786499, 0.97512286901474, 0.841888427734375, 0.6885548233985901, 0.6055636405944824, 0.6636467576026917, 0.5766199827194214, 0.4962024688720703, 0.49161332845687866, 3.901857614517212, 0.11727970838546753, -0.43938979506492615, 0.2722164988517761, 0.007031971123069525, 0.2296764850616455, -0.03070240654051304, -0.14136984944343567, 0.11043363809585571, 0.08436191827058792, -0.0670805498957634, -0.23479628562927246, -0.32084015011787415, -1.1114966869354248, 0.1178746372461319, 0.016367297619581223, -0.0850442424416542, 0.10627978295087814, 0.08940927684307098, 0.16965052485466003, 0.20866750180721283, 0.005737856030464172, 0.14394192397594452, 0.14559443295001984, 0.39605382084846497, 0.6302826404571533, 1.9313308000564575, 1.3900072574615479, 0.4017527103424072, -0.8061813712120056, -0.985337495803833, -0.39119812846183777, -0.39530399441719055, -0.008996404707431793, -0.007053339388221502, -0.08266571164131165, -0.0035241679288446903, -0.10642088204622269, -0.04776996374130249]"
3414,113,3,13,3,3,1.4389901,104.18888,1.5835757,0.6638039874005666,138.96265,"[0.922462522983551, 1.6793605089187622, 1.9989392757415771, 1.3120909929275513, 0.7575830221176147, 0.2285485416650772, -0.07912503182888031, 0.05779120326042175, 0.29978859424591064, -0.31895941495895386, -0.08239671587944031, -0.6031724810600281, -0.24800756573677063, -1.8105469942092896, 3.3913867473602295, 0.8344418406486511, 0.7055863738059998, 0.533608078956604, 0.5909173488616943, -0.16735728085041046, -0.341004878282547, -1.0086277723312378, 0.01521438267081976, -0.2290104329586029, 0.45087289810180664, -0.10678804665803909, -1.4235270023345947, 2.884690046310425, -0.7741813659667969, -0.2609051465988159, -0.010929722338914871, 0.26126495003700256, -0.04874936118721962, 0.14997422695159912, 1.0765304565429688, 0.5011622905731201, 0.8896704912185669, 0.5563825368881226, 0.3705311715602875, -0.2730070948600769, 3.2111732959747314, 0.7683299779891968, 0.6943112015724182, 0.05645391717553139, -0.02077026106417179, 0.4173917770385742, 0.24665354192256927, 0.16366107761859894, -0.23762737214565277, -0.009094346314668655, 0.11482701450586319, -0.26907360553741455, -1.1443333625793457, -2.7544960975646973, -0.680986762046814, -0.14016325771808624, 0.18462863564491272, -0.0837954431772232, -0.2536700665950775, -0.4063325822353363, -0.5155514478683472, -0.32894226908683777, -0.25807979702949524, -0.33252033591270447, -0.3999142646789551, -0.24670106172561646, 0.2804217040538788, 2.061922311782837, 1.2836401462554932, 0.8170114159584045, 0.12407854199409485, -0.7314845323562622, -0.8605910539627075, -0.5845137238502502, -0.7902842164039612, -0.49779918789863586, -0.3844384253025055, -0.46267563104629517]"
3703,123,5,8,2,2,0.9769676,101.391975,1.1748483,0.5691859020394394,131.02612,"[1.0370763540267944, 1.492721676826477, 0.6257019639015198, 0.4545057415962219, 0.4154599905014038, 0.6030533909797668, 0.690387487411499, 0.09675507992506027, 1.6567158699035645, 0.21094343066215515, 0.28206685185432434, 0.26759859919548035, 0.12645569443702698, -0.3739064633846283, -0.6727672815322876, -0.4087681174278259, -1.3621336221694946, -0.8174318671226501, -1.10639226436615, -1.2222051620483398, -0.9899638295173645, -0.5656240582466125, 0.3962858319282532, 0.5448586344718933, -1.956579566001892, -0.3959819972515106, 0.18978959321975708, 0.44610610604286194, 0.7793003916740417, 0.5204470157623291, 0.475107878446579, 0.189175084233284, 1.5502933263778687, 0.9067938327789307, 0.5173444747924805, 0.24744048714637756, -0.34094125032424927, -0.6729661822319031, -0.6598379611968994, -0.4780060350894928, -1.2301000356674194, 0.5952404737472534, 0.44681406021118164, 0.023058107122778893, -0.41843700408935547, -0.3914976119995117, -0.12019073963165283, 0.055341385304927826]"
4102,136,5,13,2,2,1.0866673,95.73673,1.4327333,0.6354529474484545,128.94211,"[0.8383097052574158, 0.35079261660575867, 0.04721054807305336, 0.1975463330745697, 0.3208589553833008, 0.3001416027545929, 0.4631574749946594, -0.17480024695396423, -0.26513612270355225, 0.1853744089603424, -0.3679533004760742, -0.6666914820671082, -0.4708993434906006, 0.18587805330753326, -0.22395527362823486, -0.4449036717414856, -0.6855443120002747, -1.028354525566101, -1.0478500127792358, -0.9976469874382019, -0.1964280903339386, 0.13269375264644623, -0.0530066154897213, 0.6130765676498413, 0.6754512190818787, 0.7970533967018127, -0.7204945683479309, -1.023384928703308, -0.6086676716804504, -0.3720662295818329, -0.14580808579921722, -0.08444631099700928, 0.24105475842952728, 1.2336729764938354, 1.099800944328308, 0.8434824347496033, 0.6427170038223267, 0.09149326384067535, 0.3125436007976532, -0.5539256930351257, 0.11244034767150879, 0.15336278080940247, 0.3158515989780426, 0.6305213570594788, 0.47835707664489746, 0.6298186779022217, 0.007207426708191633, 0.21798920631408691, 0.6342563033103943, 0.6173930764198303, 0.3004465699195862, 0.07196781784296036, 1.111707091331482, 0.4661843776702881, 0.15898095071315765, -0.16299401223659515, -0.5746504068374634, -0.5917555093765259, -0.5790026783943176, -0.3578060269355774, -0.24061399698257446, -0.22367490828037262, -0.10101437568664551, 0.0863138809800148, -0.015434548258781433, -0.05290133133530617, 0.1307402402162552, -0.14178185164928436, -0.16893364489078522, -0.5236915946006775, -0.11670980602502823, 0.38252097368240356, 0.5611677169799805, 0.35932379961013794, 0.0768098533153534, 0.16939903795719147, 0.08778169751167297, -0.011966980993747711]"
2635,87,3,13,3,3,1.3916817,94.46423,1.4836521,0.6382087232904152,127.85832,"[1.0815529823303223, 1.7216790914535522, 2.151698589324951, 1.6958236694335938, 0.21552321314811707, -0.19558849930763245, -0.056548669934272766, 0.4486297070980072, 0.4353973865509033, -0.7182782292366028, -0.5214225053787231, -0.5855771899223328, -0.3342784643173218, -1.5685737133026123, 3.4375760555267334, -0.896973192691803, 0.6183068752288818, 0.7216721177101135, -0.17946413159370422, -0.6473860144615173, -0.8073788285255432, -0.8328036069869995, -0.810164213180542, 0.07319009304046631, -0.19860698282718658, -0.031226102262735367, -1.1074395179748535, -0.04166434705257416, 0.02161192148923874, -0.40777209401130676, -0.06298210471868515, 0.06429944187402725, 0.47445523738861084, 1.046692132949829, 0.779594361782074, 1.001255989074707, 0.7373701333999634, 0.21262024343013763, 0.16470320522785187, -0.07324622571468353, 2.995953321456909, 0.09062282741069794, 0.6578068137168884, -0.0758507028222084, 0.034156352281570435, 0.23412075638771057, 0.11621607840061188, -0.21218089759349823, -0.27616921067237854, -0.027013488113880157, 0.2459516078233719, -0.04918374866247177, -2.5572104454040527, -2.6983089447021484, -0.6577611565589905, 0.00021585841022897512, -0.031092114746570587, -0.25523680448532104, -0.7654637098312378, -0.8321012854576111, -0.6120322346687317, -0.3601783812046051, 0.11910848319530487, -0.12152761220932007, -0.06298866868019104, 0.08953426033258438, 1.2705291509628296, 2.234182357788086, 1.4626553058624268, 0.41981416940689087, -0.3804948329925537, -1.028234601020813, -0.7099751830101013, -0.6270156502723694, -0.5318045020103455, -0.2475353628396988, -0.16906216740608215, -0.08351588249206543]"
2720,90,2,13,3,3,1.416502,94.74054,1.6216135,0.5639292952491113,124.55862,"[-0.3425482511520386, 0.9908230304718018, 1.0349018573760986, 1.6862165927886963, 2.0003550052642822, 1.3514498472213745, 0.2759212553501129, -0.5204294323921204, 0.012004468590021133, -0.037439730018377304, -0.3181278109550476, -0.18758103251457214, 0.002083882922306657, 0.965097963809967, -1.1069402694702148, -1.2872388362884521, 1.8563599586486816, 1.2932294607162476, 0.6367282867431641, 0.8491023182868958, 0.5322805047035217, -0.5342330932617188, -0.6079039573669434, -0.7101615071296692, -0.9385390877723694, -0.4745735824108124, -0.4106522500514984, -1.6714808940887451, 0.31320512294769287, 1.2085506916046143, -0.07805456966161728, -0.20920336246490479, -0.1814236044883728, 0.2057894766330719, 0.4885071814060211, 0.380182683467865, 0.5688154697418213, 0.659996747970581, 0.42285996675491333, -0.28648796677589417, -1.0371267795562744, -0.42559364438056946, 2.8882083892822266, 0.9172956943511963, 0.07088720053434372, 0.06672000885009766, 0.020476382225751877, 0.26207253336906433, 0.12559087574481964, 0.02426699548959732, -0.049493830651044846, -0.19574925303459167, -0.47932446002960205, -0.12319061160087585, -2.323904514312744, -2.0043070316314697, -0.48613011837005615, 0.3125150799751282, 0.05270540714263916, -0.2467670887708664, -0.4476420283317566, -0.3608344495296478, -0.24788637459278107, -0.3937188982963562, -0.46079039573669434, -0.34069347381591797, -0.0306741613894701, -0.10052865743637085, 2.061392068862915, 2.3013651371002197, 1.282008171081543, 0.40757060050964355, -0.25410404801368713, -0.7513657808303833, -0.61513352394104, -0.7622097730636597, -0.5131624937057495, -0.48469334840774536]"
3955,131,5,13,2,2,1.0946767,95.7946,1.4672153,0.5416784354923754,124.34574,"[0.9677966237068176, 1.0333061218261719, -0.28761500120162964, -0.08094185590744019, -0.1181202232837677, 0.29049697518348694, -0.28564825654029846, -0.43649569153785706, -0.5299818515777588, -0.41130611300468445, -0.3297426104545593, -0.40663090348243713, -0.24536384642124176, 1.6922143697738647, 0.8362288475036621, 0.3186051845550537, 0.49328768253326416, 0.5864334106445312, -0.2047400176525116, 0.687913179397583, 0.6736408472061157, 0.5844042301177979, 0.1768234670162201, 0.3719647228717804, 0.08761207014322281, -0.20331838726997375, -1.7902752161026, -2.8547258377075195, -1.7631453275680542, -1.9974262714385986, -1.8925423622131348, 0.31180503964424133, 0.7784854173660278, 0.6954032778739929, 0.34157031774520874, 0.24754688143730164, 0.04671287164092064, -0.025002721697092056, 0.25548607110977173, -1.8412058353424072, -0.5789436101913452, -0.27929067611694336, -0.2247835099697113, -0.13087667524814606, 0.5700383186340332, 0.8072096705436707, 0.5082501769065857, 0.5017623901367188, 0.4595361351966858, 0.22980381548404694, -0.11363700777292252, -0.19842374324798584, 1.2461997270584106, 0.7532824277877808, 0.2960023581981659, 0.3438762426376343, 0.2576308250427246, -0.5889390110969543, -0.2721764147281647, 0.043519582599401474, 0.05556243285536766, -0.1178436279296875, -0.004623641725629568, -0.04155570641160011, -0.040663279592990875, -1.4092504978179932, -0.590539813041687, -0.3895798623561859, -0.2995726764202118, -0.4992452561855316, -0.1713225394487381, 0.37109577655792236, 0.42176300287246704, 0.2877621352672577, 0.21213489770889282, 0.1145654022693634, 0.06610814481973648, -0.13882456719875336]"
2668,88,2,13,3,3,1.317343,91.053406,1.5996845,0.6281831934431454,124.062256,"[1.1427781581878662, 1.2539781332015991, 1.9222869873046875, 2.0911600589752197, 1.565832257270813, -0.24068331718444824, -0.39871513843536377, -0.6056196689605713, 0.1304125189781189, 0.24308842420578003, 0.38409343361854553, 0.27558887004852295, -0.1993422657251358, -0.026381192728877068, -1.0164051055908203, -1.101320505142212, 0.34127506613731384, 1.0930713415145874, 0.6660553812980652, 0.14809156954288483, -0.502111554145813, -0.7706141471862793, -0.589245080947876, -0.9675036668777466, -0.5537273287773132, -0.41229891777038574, -1.4262911081314087, -0.044057514518499374, 0.7612966895103455, -0.1535608172416687, -0.3351697027683258, -0.01256575621664524, -0.16557425260543823, 0.07432466745376587, 0.5742286443710327, 0.3899886906147003, 0.2800460457801819, 1.0469166040420532, 0.6167685985565186, -0.26646682620048523, -0.5970944166183472, 2.4915318489074707, 0.8282878994941711, 0.4458175003528595, -0.13495823740959167, -0.07059652358293533, 0.395769864320755, 0.11746625602245331, 0.14867611229419708, -0.27869653701782227, -0.3306604325771332, -0.08321184664964676, -0.3720511496067047, -2.668476104736328, -2.92043137550354, 0.048729803413152695, 0.29591795802116394, 0.1930607110261917, -0.06981927901506424, -0.5036500692367554, -0.6203905344009399, -0.513378381729126, -0.492240309715271, -0.3981783986091614, -0.14832036197185516, -0.4861471354961395, 0.09882575273513794, 1.1759732961654663, 2.3163371086120605, 1.5017987489700317, 0.5440132021903992, -0.28952354192733765, -1.1796653270721436, -0.9358989000320435, -0.6740878820419312, -0.7602735161781311, -0.39025449752807617, -0.3253529965877533]"
3650,121,4,13,2,2,1.4410639,91.329124,1.7551117,0.5700997637572189,121.589226,"[1.0968199968338013, 1.2470691204071045, 0.7087573409080505, 0.3883225619792938, 0.3271453082561493, 0.08138465881347656, 0.46601399779319763, 0.16164277493953705, -0.254666805267334, -0.3808494806289673, -0.4551067352294922, -0.26658591628074646, -0.46726903319358826, -2.227598190307617, 3.224463939666748, 0.10764369368553162, -0.12761333584785461, -0.8172782063484192, -0.7080549597740173, -0.7011193633079529, -0.5862351655960083, -0.2755907475948334, -0.2532844543457031, -0.5056481957435608, -0.25530555844306946, 0.0075698187574744225, -2.256859540939331, -1.1354342699050903, -0.9008975625038147, -0.8116704821586609, -0.4199254810810089, 0.008418850600719452, -0.02515243925154209, -0.04756409674882889, 1.0485413074493408, 1.0565370321273804, 0.7177283763885498, 0.6930934190750122, 0.6579465866088867, -1.5442885160446167, -2.0864884853363037, 0.04734824597835541, 0.17604362964630127, 0.30878958106040955, 0.5641114711761475, 0.40709570050239563, 0.3957274258136749, 0.15000152587890625, 0.3124716281890869, 0.29968565702438354, 0.29887914657592773, 0.2359839528799057, 1.3786581754684448, 0.8643273711204529, 0.4485236704349518, 0.3068937063217163, -0.04652554914355278, -0.2891700565814972, -0.33591875433921814, -0.33432406187057495, -0.3174757957458496, -0.27963346242904663, -0.3338598906993866, -0.2089013159275055, -0.03175735101103783, -2.446237325668335, -0.9380530714988708, 0.2580863833427429, -0.007382693234831095, -0.21917954087257385, -0.4992452561855316, -0.15235191583633423, 0.040677040815353394, 0.05340511351823807, 0.1842605620622635, 0.13322713971138, 0.11201503127813339, 0.16433121263980865]"
3657,121,5,13,2,2,1.3765192,88.731,1.6286197,0.5685865576915885,118.78895,"[1.2470691204071045, 0.7087573409080505, 0.3883225619792938, 0.3271453082561493, 0.08138465881347656, 0.46601399779319763, 0.16164277493953705, -0.254666805267334, -0.3808494806289673, -0.4551067352294922, -0.26658591628074646, -0.46726903319358826, -0.5641453862190247, 3.224463939666748, 0.10764369368553162, -0.12761333584785461, -0.8172782063484192, -0.7080549597740173, -0.7011193633079529, -0.5862351655960083, -0.2755907475948334, -0.2532844543457031, -0.5056481957435608, -0.25530555844306946, 0.0075698187574744225, 0.12997613847255707, -1.1354342699050903, -0.9008975625038147, -0.8116704821586609, -0.4199254810810089, 0.008418850600719452, -0.02515243925154209, -0.04756409674882889, 1.0485413074493408, 1.0565370321273804, 0.7177283763885498, 0.6930934190750122, 0.6579465866088867, 0.9188113212585449, -2.0864884853363037, 0.04734824597835541, 0.17604362964630127, 0.30878958106040955, 0.5641114711761475, 0.40709570050239563, 0.3957274258136749, 0.15000152587890625, 0.3124716281890869, 0.29968565702438354, 0.29887914657592773, 0.2359839528799057, 0.23530060052871704, 0.8643273711204529, 0.4485236704349518, 0.3068937063217163, -0.04652554914355278, -0.2891700565814972, -0.33591875433921814, -0.33432406187057495, -0.3174757957458496, -0.27963346242904663, -0.3338598906993866, -0.2089013159275055, -0.03175735101103783, 0.05329203978180885, -0.9380530714988708, 0.2580863833427429, -0.007382693234831095, -0.21917954087257385, -0.4992452561855316, -0.15235191583633423, 0.040677040815353394, 0.05340511351823807, 0.1842605620622635, 0.13322713971138, 0.11201503127813339, 0.16433121263980865, 0.02250499650835991]"
