id,series_id,start,length,true_class,pred_class,confidence,F_stat,Separability,IG,Composite_Score,dim_0,Shapelet_Length
743,3,227,57,0,0,1.8739166,21.535728,1.8739166,0.5148639669473606,512.6753,"[0.4126283824443817, -0.28475436568260193, -0.806532621383667, -0.8389991521835327, -0.5410510301589966, -0.5446943640708923, -0.5879144668579102, -0.7969076037406921, -0.044775135815143585, 0.9377450942993164, 0.988217830657959, 1.1827696561813354, 1.0572887659072876, 1.0068641901016235, 0.9036635160446167, 0.8872388601303101, 0.9058289527893066, 0.8404414057731628, 0.8238376379013062, 0.5004064440727234, 0.2811773419380188, 0.33370476961135864, 0.2726219892501831, 0.13561268150806427, 0.07710380852222443, 0.02385587990283966, -0.026733843609690666, -0.12618060410022736, -0.44341811537742615, -0.8464322090148926, -1.0119755268096924, -0.9458286762237549, -0.868463397026062, -0.8491451740264893, -0.8276841640472412, -0.8105795383453369, -0.8069058060646057, -0.8224940896034241, -0.8387287855148315, -0.8435066342353821, -0.8316946029663086, -0.8367467522621155, -0.8513557314872742, -0.8441925644874573, -0.845032811164856, -0.84858238697052, -0.860267698764801, -0.8526621460914612, -0.8540310859680176, -0.8610700368881226, -0.856974184513092, -0.8723843097686768, -0.8803253173828125, -0.8829189538955688, -0.8791517019271851, -0.8733850121498108, -0.8800042271614075]",57
2884,12,134,57,0,0,1.9581115,20.073746,1.9581115,0.4248143440840737,481.45898,"[-1.4047456979751587, -1.1831728219985962, -0.18907350301742554, -0.3806588351726532, -0.4985720217227936, -0.4294572174549103, -0.9572007656097412, -0.5185864567756653, 0.6852187514305115, 1.2515095472335815, 0.6874728202819824, 0.839397132396698, 0.8747049570083618, 0.42073601484298706, 1.0082796812057495, 1.1720815896987915, 0.6295121312141418, 0.8011642694473267, 1.4694008827209473, 0.9095188975334167, 0.2003854662179947, 0.26832592487335205, 0.5605430603027344, 0.5797210335731506, 0.6445731520652771, 0.7565327882766724, -0.0229168850928545, -0.43539440631866455, -0.3947935998439789, -1.0723637342453003, -0.9001591205596924, -0.6642570495605469, -1.3815852403640747, -1.647528886795044, -1.6156227588653564, -1.565674066543579, -1.8500038385391235, -1.8426424264907837, -1.7617872953414917, -1.65790855884552, -1.2803378105163574, -1.2692863941192627, -1.5596587657928467, -1.6858645677566528, -1.7187168598175049, -1.6047898530960083, -1.4601141214370728, -1.5491174459457397, -1.3557333946228027, -1.2894030809402466, -1.4035108089447021, -1.2516827583312988, -1.2486469745635986, -1.3571325540542603, -1.3175901174545288, -1.242738127708435, -1.3435397148132324]",57
3123,13,132,57,0,0,1.8373652,18.664743,1.8373652,0.5087256743873155,453.8521,"[-1.8856233358383179, -1.3346514701843262, -1.259803295135498, -1.2500721216201782, -1.2670542001724243, -0.4062962532043457, 0.04453570023179054, 0.5513859987258911, 1.1254539489746094, 0.3756357729434967, -0.0020882664248347282, 1.2551504373550415, 2.3005483150482178, 1.8329123258590698, 2.092076539993286, 2.177642822265625, 2.16031551361084, 1.5773521661758423, 1.3127927780151367, 1.913529872894287, 1.918795108795166, 1.6809296607971191, 1.3714152574539185, 1.0575120449066162, 1.215051293373108, 1.4237812757492065, 1.2161191701889038, 0.8605638146400452, 0.5866302251815796, 0.3747347891330719, 0.22172753512859344, -0.3302236795425415, -0.6018579602241516, -0.49286025762557983, -0.6646849513053894, -0.4991125464439392, -0.7967900037765503, -1.2812119722366333, -1.1863882541656494, -1.1408922672271729, -1.2210274934768677, -0.9711785316467285, -0.9674699306488037, -1.1968748569488525, -1.2437814474105835, -1.1646308898925781, -1.0616309642791748, -1.107670783996582, -1.2216796875, -1.4942927360534668, -1.7962875366210938, -1.8552099466323853, -1.9282933473587036, -2.0957024097442627, -1.954670786857605, -1.7696725130081177, -1.1159071922302246]",57
1477,6,136,57,0,0,1.7410564,18.199324,1.7410564,0.5087256743873155,441.65445,"[-1.3204927444458008, -0.8644630908966064, -0.3837866187095642, -1.0901505947113037, -1.00905442237854, -1.0742318630218506, -1.7522053718566895, -0.9233103394508362, -0.30848678946495056, -0.7640217542648315, -0.641358494758606, -0.36572274565696716, -0.05310925841331482, 0.2592238485813141, 0.650111734867096, 0.7960876822471619, 0.24872411787509918, 0.8822478652000427, 1.794451355934143, 0.7794042229652405, 0.14502772688865662, 0.3176128566265106, 0.5333670973777771, 0.7751774191856384, 0.9245858192443848, 0.40528398752212524, -0.38539552688598633, -0.1751539558172226, 0.12488982826471329, -0.30278870463371277, -0.06172578036785126, -0.8506661057472229, -1.450920820236206, -1.3076280355453491, -1.185477375984192, -0.8746992945671082, -0.7924432754516602, -0.7327362298965454, -0.9164546132087708, -1.4292991161346436, -1.6652566194534302, -1.3730851411819458, -1.559959888458252, -1.5780385732650757, -1.4786107540130615, -1.392395257949829, -1.6212470531463623, -1.4407453536987305, -0.932249128818512, -0.9800631403923035, -0.9999562501907349, -1.504703164100647, -1.6029053926467896, -0.9508565068244934, -1.1342411041259766, -1.3271266222000122, -0.7570791840553284]",57
2442,10,107,85,0,0,2.2819896,16.915073,2.2819896,0.6893917467430878,441.2307,"[-0.8388809561729431, -0.964551568031311, -0.9266545176506042, -1.515804409980774, -1.6385788917541504, -0.9190272688865662, -0.25385788083076477, -0.2868131399154663, -0.2443944811820984, 0.005887512117624283, -0.2063644528388977, 0.0033990375231951475, -0.05867735296487808, -0.1295054405927658, 0.1755620539188385, 0.2869645953178406, 0.26531392335891724, -0.43074920773506165, -0.8650830984115601, -0.9500454664230347, -1.0976574420928955, -0.7206515669822693, -0.5613338947296143, -1.161920189857483, -1.1828237771987915, -1.4681758880615234, -1.8578022718429565, -1.8044624328613281, -1.6167000532150269, -1.3115882873535156, -1.679805874824524, -1.1123483180999756, -0.48372113704681396, -0.7100187540054321, -0.3641442358493805, -0.26000648736953735, -0.09455856680870056, 0.7216445207595825, 1.0331600904464722, 1.5144232511520386, 1.0298075675964355, 1.0299928188323975, 1.8065308332443237, 1.7369779348373413, 2.3064680099487305, 2.1651058197021484, 1.5827990770339966, 1.6435151100158691, 1.3293639421463013, 0.8498179912567139, 0.6973670721054077, 0.8272969722747803, 0.8663243055343628, 0.486280620098114, 0.3642464280128479, 0.9274963736534119, 0.8701647520065308, 0.09752579778432846, -0.14271235466003418, -0.7044252753257751, -0.7535174489021301, -0.27261364459991455, -0.857572615146637, -1.1679326295852661, -1.160652995109558, -1.1311877965927124, -0.9847354292869568, -1.1190111637115479, -1.4458465576171875, -1.4818862676620483, -1.3777965307235718, -1.4393455982208252, -1.5515798330307007, -1.6042749881744385, -1.4627270698547363, -1.3100992441177368, -1.3244870901107788, -1.3733803033828735, -1.4279128313064575, -1.5652399063110352, -1.6040199995040894, -1.4268813133239746, -0.9484840631484985, -0.8341477513313293, -1.3458784818649292]",85
2469,10,108,85,0,0,2.257936,16.78869,2.257936,0.6893917467430878,437.9815,"[-0.964551568031311, -0.9266545176506042, -1.515804409980774, -1.6385788917541504, -0.9190272688865662, -0.25385788083076477, -0.2868131399154663, -0.2443944811820984, 0.005887512117624283, -0.2063644528388977, 0.0033990375231951475, -0.05867735296487808, -0.1295054405927658, 0.1755620539188385, 0.2869645953178406, 0.26531392335891724, -0.43074920773506165, -0.8650830984115601, -0.9500454664230347, -1.0976574420928955, -0.7206515669822693, -0.5613338947296143, -1.161920189857483, -1.1828237771987915, -1.4681758880615234, -1.8578022718429565, -1.8044624328613281, -1.6167000532150269, -1.3115882873535156, -1.679805874824524, -1.1123483180999756, -0.48372113704681396, -0.7100187540054321, -0.3641442358493805, -0.26000648736953735, -0.09455856680870056, 0.7216445207595825, 1.0331600904464722, 1.5144232511520386, 1.0298075675964355, 1.0299928188323975, 1.8065308332443237, 1.7369779348373413, 2.3064680099487305, 2.1651058197021484, 1.5827990770339966, 1.6435151100158691, 1.3293639421463013, 0.8498179912567139, 0.6973670721054077, 0.8272969722747803, 0.8663243055343628, 0.486280620098114, 0.3642464280128479, 0.9274963736534119, 0.8701647520065308, 0.09752579778432846, -0.14271235466003418, -0.7044252753257751, -0.7535174489021301, -0.27261364459991455, -0.857572615146637, -1.1679326295852661, -1.160652995109558, -1.1311877965927124, -0.9847354292869568, -1.1190111637115479, -1.4458465576171875, -1.4818862676620483, -1.3777965307235718, -1.4393455982208252, -1.5515798330307007, -1.6042749881744385, -1.4627270698547363, -1.3100992441177368, -1.3244870901107788, -1.3733803033828735, -1.4279128313064575, -1.5652399063110352, -1.6040199995040894, -1.4268813133239746, -0.9484840631484985, -0.8341477513313293, -1.3458784818649292, -1.3894559144973755]",85
24,0,226,57,0,0,1.8197072,17.206736,1.8197072,0.5148639669473606,424.46912,"[0.7148288488388062, 0.40343010425567627, -0.42607009410858154, -0.7011085748672485, -0.2688254117965698, -0.9652946591377258, -0.9650987386703491, -0.4230748414993286, -0.3461207449436188, 0.15610726177692413, 0.6338089108467102, 0.6876022815704346, 0.7766218781471252, 0.8019922971725464, 0.9497296214103699, 1.1230460405349731, 1.1222928762435913, 1.170475959777832, 1.1666945219039917, 1.198568344116211, 1.377243161201477, 1.391534447669983, 1.3156945705413818, 1.214165210723877, 1.1548571586608887, 1.1393083333969116, 1.056840419769287, 0.9586365818977356, 0.8466296792030334, 0.5988544225692749, 0.06290891021490097, -0.44124308228492737, -0.6358398795127869, -0.712630033493042, -0.7455124258995056, -0.7540996670722961, -0.7433158159255981, -0.7433675527572632, -0.7540445327758789, -0.7543122172355652, -0.7430163621902466, -0.7376296520233154, -0.7479236721992493, -0.7506135106086731, -0.7535334229469299, -0.7613662481307983, -0.7550263404846191, -0.747459888458252, -0.7497157454490662, -0.7434813976287842, -0.7347907423973083, -0.7293665409088135, -0.7191678285598755, -0.7149472832679749, -0.7060686349868774, -0.6969327926635742, -0.6968538761138916]",57
993,4,182,57,0,0,1.7675741,17.136045,1.7675741,0.5148639669473606,421.49133,"[-0.7768535614013672, -0.5574657917022705, -0.45285308361053467, -0.8377857804298401, -0.5168343186378479, 0.3129797875881195, 0.47482189536094666, 0.5514718294143677, 0.6828149557113647, 0.4444246292114258, 0.4340091943740845, 1.0485244989395142, 1.6205558776855469, 1.75552499294281, 1.8789315223693848, 1.7853118181228638, 1.5555508136749268, 1.2325825691223145, 1.5062564611434937, 1.541941523551941, 0.7903785705566406, 0.7585776448249817, 0.9953006505966187, 0.7066899538040161, 0.717151939868927, 0.7896384000778198, 0.07697753608226776, 0.07830853760242462, 0.3516603708267212, 0.048004306852817535, -0.12239046394824982, -0.24934810400009155, 0.4438914656639099, 0.764641284942627, 0.10456239432096481, 0.18215514719486237, -0.15876810252666473, -0.5976120829582214, -0.8902113437652588, -1.0048495531082153, -0.7734004259109497, -0.5770331025123596, -0.3420354425907135, -0.5289598107337952, -0.740755558013916, -1.3458539247512817, -1.579015851020813, -1.0877989530563354, -1.166102647781372, -1.3064942359924316, -1.1742045879364014, -1.5222970247268677, -1.585293173789978, -1.5443675518035889, -1.372186541557312, -1.0343002080917358, -0.6309082508087158]",57
2452,10,104,85,0,0,2.1952014,15.546673,2.1952014,0.6893917467430878,411.2591,"[-0.16496479511260986, -0.3131643831729889, -0.7789874076843262, -0.8388809561729431, -0.964551568031311, -0.9266545176506042, -1.515804409980774, -1.6385788917541504, -0.9190272688865662, -0.25385788083076477, -0.2868131399154663, -0.2443944811820984, 0.005887512117624283, -0.2063644528388977, 0.0033990375231951475, -0.05867735296487808, -0.1295054405927658, 0.1755620539188385, 0.2869645953178406, 0.26531392335891724, -0.43074920773506165, -0.8650830984115601, -0.9500454664230347, -1.0976574420928955, -0.7206515669822693, -0.5613338947296143, -1.161920189857483, -1.1828237771987915, -1.4681758880615234, -1.8578022718429565, -1.8044624328613281, -1.6167000532150269, -1.3115882873535156, -1.679805874824524, -1.1123483180999756, -0.48372113704681396, -0.7100187540054321, -0.3641442358493805, -0.26000648736953735, -0.09455856680870056, 0.7216445207595825, 1.0331600904464722, 1.5144232511520386, 1.0298075675964355, 1.0299928188323975, 1.8065308332443237, 1.7369779348373413, 2.3064680099487305, 2.1651058197021484, 1.5827990770339966, 1.6435151100158691, 1.3293639421463013, 0.8498179912567139, 0.6973670721054077, 0.8272969722747803, 0.8663243055343628, 0.486280620098114, 0.3642464280128479, 0.9274963736534119, 0.8701647520065308, 0.09752579778432846, -0.14271235466003418, -0.7044252753257751, -0.7535174489021301, -0.27261364459991455, -0.857572615146637, -1.1679326295852661, -1.160652995109558, -1.1311877965927124, -0.9847354292869568, -1.1190111637115479, -1.4458465576171875, -1.4818862676620483, -1.3777965307235718, -1.4393455982208252, -1.5515798330307007, -1.6042749881744385, -1.4627270698547363, -1.3100992441177368, -1.3244870901107788, -1.3733803033828735, -1.4279128313064575, -1.5652399063110352, -1.6040199995040894, -1.4268813133239746]",85
2439,10,133,57,0,0,1.7811625,16.560534,1.7811625,0.3705065005495052,403.17087,"[-1.8578022718429565, -1.8044624328613281, -1.6167000532150269, -1.3115882873535156, -1.679805874824524, -1.1123483180999756, -0.48372113704681396, -0.7100187540054321, -0.3641442358493805, -0.26000648736953735, -0.09455856680870056, 0.7216445207595825, 1.0331600904464722, 1.5144232511520386, 1.0298075675964355, 1.0299928188323975, 1.8065308332443237, 1.7369779348373413, 2.3064680099487305, 2.1651058197021484, 1.5827990770339966, 1.6435151100158691, 1.3293639421463013, 0.8498179912567139, 0.6973670721054077, 0.8272969722747803, 0.8663243055343628, 0.486280620098114, 0.3642464280128479, 0.9274963736534119, 0.8701647520065308, 0.09752579778432846, -0.14271235466003418, -0.7044252753257751, -0.7535174489021301, -0.27261364459991455, -0.857572615146637, -1.1679326295852661, -1.160652995109558, -1.1311877965927124, -0.9847354292869568, -1.1190111637115479, -1.4458465576171875, -1.4818862676620483, -1.3777965307235718, -1.4393455982208252, -1.5515798330307007, -1.6042749881744385, -1.4627270698547363, -1.3100992441177368, -1.3244870901107788, -1.3733803033828735, -1.4279128313064575, -1.5652399063110352, -1.6040199995040894, -1.4268813133239746, -0.9484840631484985]",57
