id,series_id,start,length,true_class,pred_class,confidence,F_stat,Separability,IG,Composite_Score,Shapelet_Values
369,6,76,20,2,2,2.7435155,243.59355,4.0520306,0.8122924302659678,288.2602,"[-0.7303694486618042, -0.8047686219215393, -0.603804349899292, -0.42530912160873413, -0.26643815636634827, 0.0030901336576789618, 0.018473131582140923, -0.27902448177337646, -0.4285770654678345, -0.5977239012718201, -0.5900495648384094, -0.532206654548645, -0.3718287944793701, -0.20283937454223633, -0.033931881189346313, -0.20716449618339539, -0.473476767539978, -0.641647458076477, -0.6069585680961609, -0.6005216240882874, -0.14924684166908264, -0.2265806794166565, 0.08398929238319397, 0.17037923634052277, 0.31959792971611023, 0.5534758567810059, 0.4678361415863037, 0.36257001757621765, 0.22981791198253632, -0.08198292553424835, -0.2115328460931778, 0.14134205877780914, 0.3214036524295807, 0.495617538690567, 0.5071970224380493, 0.4001598656177521, 0.33860844373703003, 0.32533973455429077, -0.0975470170378685, 0.05332813784480095, 0.5640379190444946, 0.3992226719856262, 0.007714683655649424, 0.030696233734488487, 0.08628387749195099, 0.013365303166210651, 0.16770236194133759, 0.45331594347953796, 0.40638843178749084, 0.5028917193412781, 0.40739205479621887, 0.4811517596244812, 0.2827675938606262, 0.08277327567338943, 0.09879054874181747, 0.3998047709465027, 0.381075918674469, 0.3616269826889038, 0.45426270365715027, 0.2130027711391449, -0.3047275245189667, -0.18094930052757263, -0.14904332160949707, 0.17351777851581573, 0.07987257093191147, 0.19524456560611725, -0.2680340111255646, -0.30059167742729187, -0.20870772004127502, -0.25600242614746094, -0.05283474922180176, -0.16978195309638977, 0.2903409004211426, -0.12222525477409363, 0.10226171463727951, 0.16940371692180634, -0.07225026190280914, 0.015239809639751911, 0.23125790059566498, 0.429964154958725, 0.10708419233560562, 0.09118328243494034, 0.09666864573955536, -0.0029929312877357006, -0.22698429226875305, -0.21549716591835022, -0.09367703646421432, 0.10776600241661072, 0.16046608984470367, 0.08509144186973572, -0.09690342843532562, -0.03158370777964592, -0.040451087057590485, 0.12215016782283783, -0.04262280836701393, 0.14057287573814392, 0.2701243460178375, 0.12192074209451675, -0.12837094068527222, -0.10282103717327118, -0.14190222322940826, 0.19944483041763306, 0.3702421486377716, 0.26964032649993896, 0.23034198582172394, 0.034802570939064026, -0.23932722210884094, -0.40070122480392456, -0.18147282302379608, -0.31297212839126587, 0.09262841939926147, 0.3168489336967468, 0.30535924434661865, 0.19943663477897644, -0.04376605898141861, -0.03902892395853996, -0.19069601595401764, -0.29267922043800354, -0.14554165303707123, 0.11960737407207489]"
245,4,77,20,2,2,2.7410998,239.15479,4.0542364,0.8809469806454897,287.25635,"[-0.8016728758811951, -0.6045620441436768, -0.44384312629699707, -0.28838425874710083, -0.014204259030520916, 0.024812404066324234, -0.28727269172668457, -0.4471990764141083, -0.5922484397888184, -0.6023099422454834, -0.5560464262962341, -0.3652290105819702, -0.21262958645820618, -0.06341978162527084, -0.2368323802947998, -0.4728172719478607, -0.6442027688026428, -0.6244576573371887, -0.6450824737548828, -0.4086371660232544, -0.17554409801959991, 0.07054545730352402, 0.12643708288669586, 0.24793079495429993, 0.47834309935569763, 0.47462785243988037, 0.37394410371780396, 0.3146780729293823, -0.02361147664487362, -0.19381487369537354, 0.13065436482429504, 0.2742327153682709, 0.4509354829788208, 0.4813072383403778, 0.41096264123916626, 0.38308873772621155, 0.36032605171203613, -0.0601053386926651, 0.08179371058940887, 0.08231518417596817, 0.46649983525276184, 0.024521397426724434, 0.014045380055904388, 0.08126852661371231, -0.0025406384374946356, 0.06785383075475693, 0.3646487891674042, 0.4131886065006256, 0.5277532339096069, 0.44071805477142334, 0.4739569127559662, 0.29324260354042053, 0.06468957662582397, 0.054535117000341415, 0.3587777316570282, 0.422963410615921, 0.41586798429489136, 0.4577704071998596, 0.2027614712715149, 0.32428115606307983, -0.18494285643100739, -0.16159144043922424, 0.13484594225883484, 0.07987257093191147, 0.18780454993247986, -0.2908453643321991, -0.3348357677459717, -0.1994536817073822, -0.2575894296169281, -0.07588540017604828, -0.19303156435489655, 0.2541773319244385, -0.13138915598392487, 0.08099376410245895, 0.15638254582881927, -0.06354004889726639, 0.018964296206831932, 0.17532911896705627, 0.3799988627433777, 0.11336406320333481, 0.08903263509273529, 0.1192152202129364, 0.0357704721391201, -0.15849192440509796, -0.14480234682559967, -0.07768093794584274, 0.14559777081012726, 0.09688836336135864, 0.061121851205825806, -0.10388318449258804, -0.008613699115812778, -0.008456047624349594, 0.1313963383436203, -0.025206303223967552, 0.11586180329322815, 0.23876386880874634, 0.0969642847776413, -0.13066808879375458, -0.10282103717327118, -0.20125581324100494, 0.1624796837568283, 0.31391602754592896, 0.22381684184074402, 0.1937762051820755, 0.05575406178832054, -0.17177097499370575, -0.3324846029281616, -0.17088867723941803, -0.3422628343105316, 0.06651220470666885, 0.275497168302536, 0.25812143087387085, 0.19190925359725952, -0.01769069954752922, -0.014027183875441551, -0.1659126579761505, -0.2751752734184265, -0.15275898575782776, 0.09932262450456619, 0.1677677035331726]"
246,4,76,20,2,2,2.7555199,220.76323,4.032501,0.8122924302659678,265.41034,"[-0.7332429885864258, -0.8016728758811951, -0.6045620441436768, -0.44384312629699707, -0.28838425874710083, -0.014204259030520916, 0.024812404066324234, -0.28727269172668457, -0.4471990764141083, -0.5922484397888184, -0.6023099422454834, -0.5560464262962341, -0.3652290105819702, -0.21262958645820618, -0.06341978162527084, -0.2368323802947998, -0.4728172719478607, -0.6442027688026428, -0.6244576573371887, -0.6450824737548828, -0.06823182851076126, -0.17554409801959991, 0.07054545730352402, 0.12643708288669586, 0.24793079495429993, 0.47834309935569763, 0.47462785243988037, 0.37394410371780396, 0.3146780729293823, -0.02361147664487362, -0.19381487369537354, 0.13065436482429504, 0.2742327153682709, 0.4509354829788208, 0.4813072383403778, 0.41096264123916626, 0.38308873772621155, 0.36032605171203613, -0.0601053386926651, 0.08179371058940887, 0.5865450501441956, 0.46649983525276184, 0.024521397426724434, 0.014045380055904388, 0.08126852661371231, -0.0025406384374946356, 0.06785383075475693, 0.3646487891674042, 0.4131886065006256, 0.5277532339096069, 0.44071805477142334, 0.4739569127559662, 0.29324260354042053, 0.06468957662582397, 0.054535117000341415, 0.3587777316570282, 0.422963410615921, 0.41586798429489136, 0.4577704071998596, 0.2027614712715149, -0.3149726688861847, -0.18494285643100739, -0.16159144043922424, 0.13484594225883484, 0.07987257093191147, 0.18780454993247986, -0.2908453643321991, -0.3348357677459717, -0.1994536817073822, -0.2575894296169281, -0.07588540017604828, -0.19303156435489655, 0.2541773319244385, -0.13138915598392487, 0.08099376410245895, 0.15638254582881927, -0.06354004889726639, 0.018964296206831932, 0.17532911896705627, 0.3799988627433777, 0.06567231565713882, 0.08903263509273529, 0.1192152202129364, 0.0357704721391201, -0.15849192440509796, -0.14480234682559967, -0.07768093794584274, 0.14559777081012726, 0.09688836336135864, 0.061121851205825806, -0.10388318449258804, -0.008613699115812778, -0.008456047624349594, 0.1313963383436203, -0.025206303223967552, 0.11586180329322815, 0.23876386880874634, 0.0969642847776413, -0.13066808879375458, -0.10282103717327118, -0.12998078763484955, 0.1624796837568283, 0.31391602754592896, 0.22381684184074402, 0.1937762051820755, 0.05575406178832054, -0.17177097499370575, -0.3324846029281616, -0.17088867723941803, -0.3422628343105316, 0.06651220470666885, 0.275497168302536, 0.25812143087387085, 0.19190925359725952, -0.01769069954752922, -0.014027183875441551, -0.1659126579761505, -0.2751752734184265, -0.15275898575782776, 0.09932262450456619]"
720,12,61,20,1,1,1.7050142,77.49442,2.9089413,1.0,130.40337,"[-1.9843652248382568, -1.5384199619293213, 0.8271064162254333, 1.3953527212142944, 0.6598960757255554, 0.9283998012542725, 1.3985594511032104, -0.10536441951990128, -2.2567880153656006, -1.985378384590149, -0.4285253882408142, 1.5966002941131592, 1.4750452041625977, 0.7583853602409363, 0.9009507894515991, 0.6633676886558533, -0.9284665584564209, -2.086735486984253, -1.9196994304656982, 1.222769021987915, -1.5170400142669678, -0.5395631790161133, -1.0951738357543945, 0.8625621199607849, 1.824712872505188, 1.5022352933883667, -0.9051451086997986, -2.0022668838500977, -1.5050758123397827, -0.8172988295555115, -0.6873863339424133, -1.0398443937301636, 1.7385270595550537, 1.941035509109497, -0.3784042000770569, -0.49577516317367554, -2.085257053375244, -1.0269712209701538, -0.6191321611404419, -1.1606411933898926, 1.2115877866744995, 0.31138405203819275, -0.6980688571929932, -1.4644815921783447, -0.20193970203399658, -0.38632872700691223, -1.1547504663467407, -0.05920366197824478, 1.659181833267212, 0.22127589583396912, -1.93852698802948, -1.1221145391464233, -0.989952564239502, -0.09100070595741272, 0.08453033119440079, 0.022160343825817108, 0.8908549547195435, 0.6702948212623596, 0.8724799156188965, -1.3432586193084717, -0.23075582087039948, 0.6902573108673096, 0.9423572421073914, -0.10996004194021225, 0.774872362613678, -0.6837350130081177, -1.7426434755325317, -1.1163543462753296, -1.2330584526062012, 0.22447742521762848, 2.3107125759124756, 2.547386884689331, -0.43453729152679443, -0.8490967154502869, -0.5134414434432983, -0.8112790584564209, -0.4784550368785858, -0.4533367455005646, 0.3702380657196045, 2.408205032348633, 0.26586198806762695, -0.6909450888633728, -0.6535773277282715, -0.15241508185863495, -0.4924370050430298, 0.9617686867713928, 3.071202039718628, -0.07377265393733978, -0.20562849938869476, -0.5269526839256287, -1.9735463857650757, -0.8118575215339661, 0.29727745056152344, 0.719028651714325, 1.252978801727295, 1.092689037322998, 0.17075327038764954, 0.10192963480949402, -0.23443211615085602, -1.0598564147949219, 0.010926336981356144, 0.8464715480804443, 1.5532499551773071, 1.7125072479248047, 0.09956993162631989, -1.2676621675491333, -2.3242616653442383, -2.207831382751465, -0.07857826352119446, 1.2124626636505127, 1.7093231678009033, 1.6502305269241333, 0.5242782831192017, -1.2045438289642334, -1.5849400758743286, -1.8809399604797363, -0.8380014896392822, 0.1768333613872528, 0.8332006335258484, 2.312727212905884]"
722,12,62,20,1,1,1.6058614,66.83064,2.7650511,1.0,119.595695,"[-1.5384199619293213, 0.8271064162254333, 1.3953527212142944, 0.6598960757255554, 0.9283998012542725, 1.3985594511032104, -0.10536441951990128, -2.2567880153656006, -1.985378384590149, -0.4285253882408142, 1.5966002941131592, 1.4750452041625977, 0.7583853602409363, 0.9009507894515991, 0.6633676886558533, -0.9284665584564209, -2.086735486984253, -1.9196994304656982, 1.222769021987915, 2.1126151084899902, -0.5395631790161133, -1.0951738357543945, 0.8625621199607849, 1.824712872505188, 1.5022352933883667, -0.9051451086997986, -2.0022668838500977, -1.5050758123397827, -0.8172988295555115, -0.6873863339424133, -1.0398443937301636, 1.7385270595550537, 1.941035509109497, -0.3784042000770569, -0.49577516317367554, -2.085257053375244, -1.0269712209701538, -0.6191321611404419, -1.1606411933898926, -1.1659120321273804, 0.31138405203819275, -0.6980688571929932, -1.4644815921783447, -0.20193970203399658, -0.38632872700691223, -1.1547504663467407, -0.05920366197824478, 1.659181833267212, 0.22127589583396912, -1.93852698802948, -1.1221145391464233, -0.989952564239502, -0.09100070595741272, 0.08453033119440079, 0.022160343825817108, 0.8908549547195435, 0.6702948212623596, 0.8724799156188965, -1.3432586193084717, -2.5339691638946533, 0.6902573108673096, 0.9423572421073914, -0.10996004194021225, 0.774872362613678, -0.6837350130081177, -1.7426434755325317, -1.1163543462753296, -1.2330584526062012, 0.22447742521762848, 2.3107125759124756, 2.547386884689331, -0.43453729152679443, -0.8490967154502869, -0.5134414434432983, -0.8112790584564209, -0.4784550368785858, -0.4533367455005646, 0.3702380657196045, 2.408205032348633, 2.369483232498169, -0.6909450888633728, -0.6535773277282715, -0.15241508185863495, -0.4924370050430298, 0.9617686867713928, 3.071202039718628, -0.07377265393733978, -0.20562849938869476, -0.5269526839256287, -1.9735463857650757, -0.8118575215339661, 0.29727745056152344, 0.719028651714325, 1.252978801727295, 1.092689037322998, 0.17075327038764954, 0.10192963480949402, -0.23443211615085602, -1.0598564147949219, -0.5982228517532349, 0.8464715480804443, 1.5532499551773071, 1.7125072479248047, 0.09956993162631989, -1.2676621675491333, -2.3242616653442383, -2.207831382751465, -0.07857826352119446, 1.2124626636505127, 1.7093231678009033, 1.6502305269241333, 0.5242782831192017, -1.2045438289642334, -1.5849400758743286, -1.8809399604797363, -0.8380014896392822, 0.1768333613872528, 0.8332006335258484, 2.312727212905884, 2.7235612869262695]"
731,12,63,20,1,1,1.5758603,66.187065,2.685334,1.0,118.8724,"[0.8271064162254333, 1.3953527212142944, 0.6598960757255554, 0.9283998012542725, 1.3985594511032104, -0.10536441951990128, -2.2567880153656006, -1.985378384590149, -0.4285253882408142, 1.5966002941131592, 1.4750452041625977, 0.7583853602409363, 0.9009507894515991, 0.6633676886558533, -0.9284665584564209, -2.086735486984253, -1.9196994304656982, 1.222769021987915, 2.1126151084899902, 1.8583621978759766, -1.0951738357543945, 0.8625621199607849, 1.824712872505188, 1.5022352933883667, -0.9051451086997986, -2.0022668838500977, -1.5050758123397827, -0.8172988295555115, -0.6873863339424133, -1.0398443937301636, 1.7385270595550537, 1.941035509109497, -0.3784042000770569, -0.49577516317367554, -2.085257053375244, -1.0269712209701538, -0.6191321611404419, -1.1606411933898926, -1.1659120321273804, 2.147141218185425, -0.6980688571929932, -1.4644815921783447, -0.20193970203399658, -0.38632872700691223, -1.1547504663467407, -0.05920366197824478, 1.659181833267212, 0.22127589583396912, -1.93852698802948, -1.1221145391464233, -0.989952564239502, -0.09100070595741272, 0.08453033119440079, 0.022160343825817108, 0.8908549547195435, 0.6702948212623596, 0.8724799156188965, -1.3432586193084717, -2.5339691638946533, -2.2030386924743652, 0.9423572421073914, -0.10996004194021225, 0.774872362613678, -0.6837350130081177, -1.7426434755325317, -1.1163543462753296, -1.2330584526062012, 0.22447742521762848, 2.3107125759124756, 2.547386884689331, -0.43453729152679443, -0.8490967154502869, -0.5134414434432983, -0.8112790584564209, -0.4784550368785858, -0.4533367455005646, 0.3702380657196045, 2.408205032348633, 2.369483232498169, 0.13634973764419556, -0.6535773277282715, -0.15241508185863495, -0.4924370050430298, 0.9617686867713928, 3.071202039718628, -0.07377265393733978, -0.20562849938869476, -0.5269526839256287, -1.9735463857650757, -0.8118575215339661, 0.29727745056152344, 0.719028651714325, 1.252978801727295, 1.092689037322998, 0.17075327038764954, 0.10192963480949402, -0.23443211615085602, -1.0598564147949219, -0.5982228517532349, -0.2416410893201828, 1.5532499551773071, 1.7125072479248047, 0.09956993162631989, -1.2676621675491333, -2.3242616653442383, -2.207831382751465, -0.07857826352119446, 1.2124626636505127, 1.7093231678009033, 1.6502305269241333, 0.5242782831192017, -1.2045438289642334, -1.5849400758743286, -1.8809399604797363, -0.8380014896392822, 0.1768333613872528, 0.8332006335258484, 2.312727212905884, 2.7235612869262695, 0.5584299564361572]"
1321,22,53,20,3,3,1.561228,31.617579,2.293112,1.0,83.91069,"[-0.45977017283439636, -0.5091492533683777, -0.5160114765167236, 0.03416664898395538, 0.022063100710511208, -0.07619759440422058, -0.4009990096092224, -0.4537673592567444, -0.49795424938201904, -0.40433430671691895, -0.007396908476948738, -0.05469367280602455, -0.2219933718442917, -0.44934186339378357, -0.5219579935073853, -0.6594138741493225, -0.31985214352607727, -0.3259340226650238, -0.1965278834104538, -0.10355660319328308, -0.16879485547542572, -0.40051135420799255, -0.21779853105545044, -0.02526419423520565, 0.11421237885951996, 0.32058247923851013, 0.41981619596481323, 0.4592203199863434, 0.43494123220443726, 0.5707805752754211, 0.6241868138313293, 0.3481375575065613, 0.1499485820531845, 0.06797796487808228, -0.272445410490036, -0.31556662917137146, -0.06501481682062149, 0.004697267431765795, 0.4531289041042328, 0.7663450837135315, 0.41745489835739136, 0.3074778914451599, 0.2673381268978119, 0.18993104994297028, -0.1618594527244568, -0.009142558090388775, 0.13341817259788513, 0.25574371218681335, 0.3266303241252899, 0.5492614507675171, 0.5053097009658813, 0.472431480884552, 0.29868176579475403, 0.1475425809621811, 0.30623680353164673, 0.561633288860321, 0.6210473775863647, 0.2967044413089752, 0.3470959961414337, 0.31386253237724304, -0.06967241317033768, 0.30675262212753296, 0.051984284073114395, 0.08341217786073685, 0.0034966107923537493, 0.2150547057390213, 0.38461366295814514, -0.04017776995897293, -0.019666394218802452, 0.14829540252685547, 0.1938147395849228, -0.4839191436767578, -0.316131591796875, -0.31950643658638, -0.14017748832702637, 0.07474035024642944, 0.2656431198120117, 0.21499259769916534, 0.06667780876159668, 0.40701186656951904, 0.00977272167801857, -0.15740257501602173, -0.15130816400051117, -0.29916733503341675, 0.07559256255626678, -0.050966497510671616, -0.17129097878932953, -0.015421215444803238, 0.051982566714286804, 0.014900656417012215, 0.13617722690105438, 0.18040500581264496, 0.17947638034820557, 0.3119088411331177, -0.031559038907289505, -0.19922994077205658, -0.5727338194847107, -0.18641264736652374, -0.34879547357559204, -0.36352309584617615, -0.3744766414165497, -0.017970064654946327, 0.07677175849676132, 0.33264684677124023, 0.3668935298919678, 0.3213335871696472, 0.281069815158844, 0.3846110701560974, 0.38501831889152527, 0.09746669232845306, -0.17139996588230133, -0.5439496040344238, -0.5151605606079102, -0.3673514723777771, -0.3920658230781555, -0.23427164554595947, 0.29463517665863037, 0.48891180753707886, 0.532166600227356, 0.3534660339355469]"
1325,22,47,20,3,3,1.4465752,29.352068,2.2141767,1.0,81.566246,"[-0.4339429438114166, -0.2853100597858429, -0.04783403500914574, -0.13482004404067993, -0.44734248518943787, -0.48231494426727295, -0.45977017283439636, -0.5091492533683777, -0.5160114765167236, 0.03416664898395538, 0.022063100710511208, -0.07619759440422058, -0.4009990096092224, -0.4537673592567444, -0.49795424938201904, -0.40433430671691895, -0.007396908476948738, -0.05469367280602455, -0.2219933718442917, -0.44934186339378357, 0.5410795211791992, 0.7038688659667969, 0.6269542574882507, 0.3955431282520294, 0.31867715716362, 0.04687514156103134, -0.16879485547542572, -0.40051135420799255, -0.21779853105545044, -0.02526419423520565, 0.11421237885951996, 0.32058247923851013, 0.41981619596481323, 0.4592203199863434, 0.43494123220443726, 0.5707805752754211, 0.6241868138313293, 0.3481375575065613, 0.1499485820531845, 0.06797796487808228, 0.1499384492635727, 0.2623436748981476, 0.3543119728565216, 0.4588582515716553, 0.3082093298435211, 0.20502540469169617, 0.41745489835739136, 0.3074778914451599, 0.2673381268978119, 0.18993104994297028, -0.1618594527244568, -0.009142558090388775, 0.13341817259788513, 0.25574371218681335, 0.3266303241252899, 0.5492614507675171, 0.5053097009658813, 0.472431480884552, 0.29868176579475403, 0.1475425809621811, -0.20747467875480652, -0.30305227637290955, -0.16306616365909576, -0.13281802833080292, 0.11880983412265778, -0.43976783752441406, -0.06967241317033768, 0.30675262212753296, 0.051984284073114395, 0.08341217786073685, 0.0034966107923537493, 0.2150547057390213, 0.38461366295814514, -0.04017776995897293, -0.019666394218802452, 0.14829540252685547, 0.1938147395849228, -0.4839191436767578, -0.316131591796875, -0.31950643658638, -0.057057082653045654, 0.09250632673501968, 0.17216847836971283, 0.21442767977714539, -0.04785924032330513, 0.17733420431613922, 0.00977272167801857, -0.15740257501602173, -0.15130816400051117, -0.29916733503341675, 0.07559256255626678, -0.050966497510671616, -0.17129097878932953, -0.015421215444803238, 0.051982566714286804, 0.014900656417012215, 0.13617722690105438, 0.18040500581264496, 0.17947638034820557, 0.3119088411331177, 0.48171329498291016, 0.18912094831466675, -0.22902528941631317, -0.2685679495334625, -0.15784363448619843, -0.29257309436798096, -0.3744766414165497, -0.017970064654946327, 0.07677175849676132, 0.33264684677124023, 0.3668935298919678, 0.3213335871696472, 0.281069815158844, 0.3846110701560974, 0.38501831889152527, 0.09746669232845306, -0.17139996588230133, -0.5439496040344238, -0.5151605606079102, -0.3673514723777771]"
1231,20,53,30,3,3,0.90582466,27.510372,2.6134863,1.0,80.123856,"[-0.31747332215309143, -0.07997890561819077, -0.05023909732699394, -0.12380105257034302, -0.18201348185539246, -0.09351978451013565, 0.09241769462823868, 0.013600035570561886, -0.3241320848464966, -0.5318665504455566, -0.45218637585639954, -0.4633992612361908, -0.37788084149360657, -0.22953158617019653, 0.0728716254234314, 0.15440231561660767, -0.15171383321285248, -0.2274983674287796, -0.37562301754951477, -0.012255803681910038, 0.2535500228404999, 0.04020075500011444, -0.43312159180641174, -0.824028491973877, -1.0028458833694458, -0.6829793453216553, -0.2998945713043213, 0.42457136511802673, 0.5402106642723083, 0.36578667163848877, 0.13566866517066956, 0.5636735558509827, 0.8713182210922241, 1.126521110534668, 1.2366044521331787, 0.9690467715263367, 0.2772492468357086, 0.12699425220489502, -0.323716938495636, -0.463202565908432, -0.18911795318126678, -0.26331236958503723, -0.2609446346759796, 0.021010475233197212, 0.029299793764948845, 0.3397732675075531, 0.8551713228225708, 0.7850993871688843, 1.0693483352661133, 1.088064432144165, 0.5079790353775024, 0.041430119425058365, -0.6501062512397766, -0.7831552028656006, -0.8089990019798279, -0.48489248752593994, -0.2704055607318878, 0.21819059550762177, 0.9435821771621704, 1.3026615381240845, 0.1866539865732193, -0.11816032230854034, -0.1764615923166275, -0.23553772270679474, -0.015248024836182594, 0.3199465274810791, 0.49002358317375183, 0.6037676334381104, 0.781409502029419, 0.560423731803894, 0.521661102771759, 0.3918280005455017, 0.27669262886047363, -0.21474690735340118, -0.2668305039405823, -0.17293338477611542, 0.33258989453315735, 0.33016273379325867, 0.5964041948318481, 0.6335551738739014, 0.3306931257247925, 0.41939881443977356, 0.47293931245803833, 0.3091108798980713, 0.35863757133483887, -0.1039070338010788, -0.28264322876930237, -0.5129035115242004, -0.29186683893203735, 0.3387211561203003, 0.7990152835845947, 0.8773303031921387, 0.7951655983924866, 0.01364127267152071, -0.22327926754951477, -0.4709359109401703, -0.5639622211456299, -0.3916800320148468, -0.443252295255661, -0.1282663494348526, 0.10844778269529343, 0.1160069927573204, 0.341934472322464, 0.00036971570807509124, 0.12026187777519226, 0.5223915576934814, 0.7663771510124207, 0.29403358697891235, -0.3778412640094757, -0.05122523009777069, -0.7257075905799866, -0.6448617577552795, -0.435553640127182, -0.474337100982666, -0.12803710997104645, -0.10736536979675293, 0.6375768780708313, 0.49947458505630493, 0.8443544507026672, 0.5469554662704468, -0.3075354993343353, -0.5076261162757874, 0.0017744253855198622, -0.02097972482442856, 0.21902617812156677, 0.29916706681251526, 0.13005073368549347, 0.12219362705945969, 0.21601064503192902, 0.1073165014386177, 0.15953581035137177, 0.07201528549194336, 0.032158397138118744, -0.36329910159111023, -0.3418348431587219, -0.6568853855133057, -0.7132916450500488, -0.31687939167022705, -0.18599145114421844, -0.1205325797200203, 0.6501240134239197, 0.7027861475944519, 0.7178670763969421, 0.5184435248374939, 0.11053791642189026, 0.06510327756404877, -0.2275916337966919, -1.2078006267547607, -1.590385913848877, -0.9954560399055481, 0.7717030644416809, 0.8151691555976868, 0.5973036289215088, 0.5055551528930664, 0.06977152824401855, -0.5637222528457642, -0.9748184680938721, -0.8244063258171082, -0.1009344756603241, 0.0500936396420002, -0.011655504815280437, 0.06614596396684647, -0.02993793971836567, 0.3176843225955963, 0.4991755485534668, 0.6195178031921387, 0.705877423286438, 0.3988751471042633, 0.06115217134356499, -0.4816470146179199, -0.784302830696106, -0.7367271780967712, -0.5581598281860352, -0.45856499671936035, 0.15217801928520203, 0.5147899389266968, 0.6717925667762756, 1.0179166793823242, 1.1591925621032715, 0.4163634181022644]"
2042,34,73,20,0,0,1.6482666,18.859188,1.8663747,0.8112781244591329,61.28947,"[-0.06137546896934509, -0.2660668194293976, 0.008538800291717052, -0.18476511538028717, -0.31039413809776306, -1.0443650484085083, -0.6844571828842163, 1.34091055393219, 0.5542667508125305, 0.4258183240890503, 1.4340347051620483, 2.919673204421997, 2.8981728553771973, -0.960117518901825, -0.4297714829444885, -0.4774160385131836, -0.2535552382469177, -0.4010991156101227, -0.5273759365081787, -0.7459911108016968, -0.34189939498901367, -0.29462751746177673, 0.5188040733337402, 0.1624385118484497, -0.5957027077674866, -0.25020119547843933, 0.16166803240776062, 0.6000896692276001, -0.5075401663780212, 1.496159315109253, 2.016409158706665, 0.9916654229164124, -1.9796268939971924, -0.2597256004810333, -0.07851085066795349, 0.34252074360847473, 0.41407591104507446, 0.30259567499160767, 0.2232954353094101, -0.5641236901283264, -0.34095504879951477, -0.2529970109462738, -0.3419640064239502, -0.4305554926395416, 0.1966719776391983, 0.2617981731891632, -0.297609806060791, -1.4496885538101196, -0.6088262796401978, -0.7992659211158752, -2.3169243335723877, -4.821044921875, 2.0409507751464844, 2.550589084625244, 2.0695812702178955, 2.5534579753875732, 1.009686827659607, 0.496743768453598, 0.7439244389533997, 0.8696442246437073, 0.4472931921482086, 0.47183915972709656, 2.5938196182250977, 2.1859118938446045, 0.690602719783783, 0.23905408382415771, 1.9120575189590454, 1.6305738687515259, 0.6155848503112793, 1.9654111862182617, 0.21497975289821625, -4.8250603675842285, -2.942166805267334, 2.0556962490081787, 1.1403449773788452, -1.9604039192199707, -0.44143903255462646, -1.7214343547821045, -1.1769708395004272, -0.76383376121521, -0.5466276407241821, -0.4474826455116272, -0.21411894261837006, -0.2697643041610718, 0.05139809101819992, 0.2139110416173935, -0.11586204916238785, 0.022328222170472145, 0.2184222787618637, 0.30222609639167786, 0.790968120098114, -0.9535363912582397, -1.8492350578308105, -1.0577971935272217, -0.752267062664032, 0.14009301364421844, 0.1998225599527359, 0.4179539978504181, 0.6415351629257202, 0.36563000082969666, 0.04053308814764023, -0.06746198236942291, 1.0047937631607056, 1.2104344367980957, 1.0756992101669312, 1.0766934156417847, 1.4890918731689453, 1.4848361015319824, 1.402461290359497, 1.5181225538253784, 0.2880966067314148, -4.75697135925293, 0.0912407711148262, 0.4241017997264862, 0.5832625031471252, 0.329460471868515, -0.13344551622867584, -0.2838384211063385, -0.19892369210720062, -0.3200342655181885]"
