id,length,IG,F_stat,Separability,Composite_Score,Shapelet_Values
174,20,1.0,13.063379287719727,1.8410675525665283,1.7453925273109494,"-0.3938,-0.2186,-0.3590,-0.4309,-0.3000,-0.3358,-0.2449,-0.2217,-0.2899,-0.2719,-0.3225,-0.3933,-0.2041,-0.2041,-0.3342,-0.1870,-0.3035,-0.3510,-0.1885,-0.2521;-0.4670,-0.5077,-0.2487,0.1799,0.3341,0.5367,0.4903,0.3000,-0.0745,-0.2878,-0.3990,-0.3368,0.0723,0.0723,0.4490,0.4120,0.1621,-0.1055,-0.2538,-0.3290;0.0193,-0.0508,-0.0713,-0.0684,-0.0423,-0.0369,0.0136,0.1292,0.1060,0.0171,0.0867,-0.0425,-0.2090,-0.2090,-0.0119,0.0858,0.1431,0.0841,0.0202,-0.0471;0.0213,0.0053,0.0320,0.0320,0.0959,0.0080,-0.0346,-0.0479,-0.0586,-0.0479,0.0000,-0.0186,-0.0453,-0.0453,-0.0080,-0.0346,-0.0772,-0.0932,-0.0772,-0.0160;0.0453,0.0240,-0.0133,0.0107,-0.0160,-0.0240,-0.0479,0.0000,0.0586,0.0506,0.0559,0.0799,0.0213,0.0213,-0.0746,-0.0426,-0.0107,0.0426,0.0373,0.0027;-0.1571,-0.0453,0.1811,0.2051,0.1838,0.1545,-0.0213,-0.1412,-0.1838,-0.1491,-0.0719,0.0479,0.1838,0.1838,0.0533,-0.0453,-0.1039,-0.1545,-0.1065,-0.0320"
162,10,0.8112781244591329,11.99228572845459,1.9114711284637451,1.667259321069771,"-0.3938,-0.2186,-0.3590,-0.4309,-0.3000,-0.3358,-0.2449,-0.2217,-0.2899,-0.2719;-0.4670,-0.5077,-0.2487,0.1799,0.3341,0.5367,0.4903,0.3000,-0.0745,-0.2878;0.0193,-0.0508,-0.0713,-0.0684,-0.0423,-0.0369,0.0136,0.1292,0.1060,0.0171;0.0213,0.0053,0.0320,0.0320,0.0959,0.0080,-0.0346,-0.0479,-0.0586,-0.0479;0.0453,0.0240,-0.0133,0.0107,-0.0160,-0.0240,-0.0479,0.0000,0.0586,0.0506;-0.1571,-0.0453,0.1811,0.2051,0.1838,0.1545,-0.0213,-0.1412,-0.1838,-0.1491"
106,30,0.8122924302659676,14.091241836547852,1.7385170459747314,1.660706455316272,"-0.0969,0.2798,0.1055,0.2135,-0.0330,0.1133,0.0404,0.1858,0.1858,-0.3714,-0.5290,-0.3830,-0.5690,0.3430,0.0163,0.3722,0.1339,0.1339,-0.1668,0.1117,0.0676,-0.1525,-0.2106,-0.2106,-0.2753,-0.2770,0.1227,0.3120,-0.2354,-0.2375;-1.5909,-0.4103,0.3112,1.2296,1.8129,1.8929,1.3593,0.3160,0.3160,-1.1251,-1.1872,-0.9284,-1.3780,-0.9944,-0.3720,0.5854,1.6827,1.6827,1.9182,1.6313,-0.0037,-0.7681,-1.1451,-1.1451,-0.9562,-0.3855,-0.0665,0.1577,0.5719,0.8750;0.1426,0.2169,0.1417,0.0659,0.2239,0.3993,0.4633,0.2109,0.2109,-0.3284,-0.2327,-0.0840,-0.0380,0.1256,0.0072,0.2019,0.3342,0.3342,0.3372,0.2259,-0.3655,-0.2553,-0.2164,-0.2164,-0.2558,-0.3021,-0.1173,0.0104,0.0885,0.1936;-0.0533,0.0613,0.2370,0.3702,-0.0293,-0.0053,-0.3729,-0.5566,-0.5566,-0.7164,-0.4341,-0.0586,0.1252,0.4581,0.2557,0.5833,0.3249,0.3249,0.3196,0.1784,-0.1252,-0.1811,-0.2211,-0.2211,-0.2370,-0.0320,0.0932,0.0559,0.0320,0.0133;-0.0639,-0.1305,-0.1252,-0.0613,-0.0985,-0.0213,0.1172,0.3010,0.3010,0.2930,0.0985,-0.0160,-0.1518,-0.2637,-0.3010,-0.4554,-0.3249,-0.3249,-0.1758,0.0373,0.1385,0.1039,0.0799,0.0799,0.0692,-0.0160,-0.0959,-0.1678,-0.1199,-0.1092;0.3516,0.8230,0.8123,0.7697,0.4421,-0.0533,-0.4395,-0.8203,-0.8203,-0.4741,-0.2477,-0.1145,0.1465,0.3809,0.7324,0.8097,0.6099,0.6099,0.1119,-0.3942,-0.5993,-0.5353,-0.3249,-0.3249,0.0027,0.2370,0.3382,0.4315,0.4235,0.2637"
77,10,0.7633855378155124,13.440585136413574,1.769822359085083,1.6373137192185259,"0.5352,-0.0028,0.3566,0.2678,-0.0469,0.2139,0.0737,-0.2723,0.1825,-1.1541;-0.7783,0.6224,1.5284,1.6811,1.5905,1.0944,0.3625,-0.3813,-0.8979,-1.9014;0.2024,0.2986,0.3906,0.2484,0.4019,0.4720,0.3149,0.5398,0.1337,0.0618;0.0613,0.3675,0.4102,-0.0186,0.2211,0.0133,-0.6712,-0.0613,-0.3622,-0.2637;-0.0906,-0.3090,-0.1438,-0.0799,-0.0719,0.0320,0.0932,0.0320,0.1571,-0.0107;0.4448,0.8523,0.5407,0.3755,-0.1145,-0.4874,-0.3675,-0.6872,-0.6179,-0.2424"
166,10,0.8122924302659676,12.758910179138184,1.7044123411178589,1.6227466626230538,"-0.3552,-0.2829,-0.2207,-0.2207,-0.3482,-0.3482,-0.2332,-0.1617,-0.1617,-0.3440;-0.2089,-0.0043,0.2529,0.2529,0.4272,0.4272,0.2166,-0.0346,-0.0346,-0.3419;-0.0572,-0.0645,0.0617,0.0617,-0.0124,-0.0124,0.1170,0.0680,0.0680,0.0725;0.0107,0.0293,0.0692,0.0692,-0.0107,-0.0107,-0.0186,-0.0080,-0.0080,0.0160;0.0107,-0.0027,-0.0186,-0.0186,0.0000,0.0000,-0.0107,0.0107,0.0107,0.0533;0.0639,0.1225,0.1252,0.1252,0.0479,0.0479,-0.1172,-0.1412,-0.1412,0.0000"
51,10,0.8122924302659676,11.64645767211914,1.754172682762146,1.6123819219468853,"-0.2342,-0.2342,-0.1486,-0.2541,-0.3429,-0.3429,-0.3077,-0.2889,-0.2070,-0.3178;-0.3659,-0.3659,0.3247,0.6626,0.7103,0.7103,0.2635,-0.0048,-0.4615,-0.4443;0.0402,0.0402,-0.1901,-0.2396,0.0320,0.0320,0.0582,0.1030,0.1528,0.1151;0.0692,0.0692,0.0479,0.0985,0.0373,0.0373,-0.0479,-0.0293,-0.0213,-0.0346;0.0533,0.0533,0.0240,-0.0213,-0.0453,-0.0453,-0.0320,-0.0240,0.0107,0.0479;0.2024,0.2024,0.3196,0.2717,-0.1065,-0.1065,-0.2290,-0.2583,-0.2104,0.0000"
99,20,0.6894133977234931,13.800104141235352,1.7158952951431274,1.5989242128269159,"-0.0969,0.2798,0.1055,0.2135,-0.0330,0.1133,0.0404,0.1858,0.1858,-0.3714,-0.5290,-0.3830,-0.5690,0.3430,0.0163,0.3722,0.1339,0.1339,-0.1668,0.1117;-1.5909,-0.4103,0.3112,1.2296,1.8129,1.8929,1.3593,0.3160,0.3160,-1.1251,-1.1872,-0.9284,-1.3780,-0.9944,-0.3720,0.5854,1.6827,1.6827,1.9182,1.6313;0.1426,0.2169,0.1417,0.0659,0.2239,0.3993,0.4633,0.2109,0.2109,-0.3284,-0.2327,-0.0840,-0.0380,0.1256,0.0072,0.2019,0.3342,0.3342,0.3372,0.2259;-0.0533,0.0613,0.2370,0.3702,-0.0293,-0.0053,-0.3729,-0.5566,-0.5566,-0.7164,-0.4341,-0.0586,0.1252,0.4581,0.2557,0.5833,0.3249,0.3249,0.3196,0.1784;-0.0639,-0.1305,-0.1252,-0.0613,-0.0985,-0.0213,0.1172,0.3010,0.3010,0.2930,0.0985,-0.0160,-0.1518,-0.2637,-0.3010,-0.4554,-0.3249,-0.3249,-0.1758,0.0373;0.3516,0.8230,0.8123,0.7697,0.4421,-0.0533,-0.4395,-0.8203,-0.8203,-0.4741,-0.2477,-0.1145,0.1465,0.3809,0.7324,0.8097,0.6099,0.6099,0.1119,-0.3942"
86,10,0.6237217156121984,12.473616600036621,1.849485158920288,1.5845542681213156,"-0.0969,0.2798,0.1055,0.2135,-0.0330,0.1133,0.0404,0.1858,0.1858,-0.3714;-1.5909,-0.4103,0.3112,1.2296,1.8129,1.8929,1.3593,0.3160,0.3160,-1.1251;0.1426,0.2169,0.1417,0.0659,0.2239,0.3993,0.4633,0.2109,0.2109,-0.3284;-0.0533,0.0613,0.2370,0.3702,-0.0293,-0.0053,-0.3729,-0.5566,-0.5566,-0.7164;-0.0639,-0.1305,-0.1252,-0.0613,-0.0985,-0.0213,0.1172,0.3010,0.3010,0.2930;0.3516,0.8230,0.8123,0.7697,0.4421,-0.0533,-0.4395,-0.8203,-0.8203,-0.4741"
45,10,0.7044340029249652,12.150686264038086,1.6714191436767578,1.556141527665428,"-0.1930,-0.1705,-0.1705,-0.3865,-0.3675,-0.1594,-0.2960,-0.3635,-0.3970,-0.3586;-0.2901,0.4016,0.4016,0.7705,0.7428,0.4621,0.1853,-0.1361,-0.4159,-0.4987;-0.0678,-0.0665,-0.0665,-0.0714,0.0125,-0.0049,0.0137,0.1388,0.1369,0.0772;0.0080,0.0959,0.0959,0.0080,0.0400,-0.0559,-0.0852,-0.0719,-0.0559,-0.0160;0.0186,-0.0293,-0.0293,-0.0293,-0.0373,-0.0266,-0.0613,0.0000,0.0346,0.0293;0.1518,0.2344,0.2344,0.1199,-0.0240,-0.1571,-0.1891,-0.2317,-0.1705,-0.0320"
7,10,0.6894133977234931,10.940434455871582,1.7704890966415405,1.5508912362492762,"-0.2416,-0.1260,-0.0476,-0.1807,-0.2233,-0.2695,-0.1322,-0.2476,-0.1672,-0.2268;0.4106,0.6310,0.3041,0.4526,0.0554,-0.1954,-0.1081,0.0512,0.4951,0.5825;-0.0627,0.0344,-0.0198,0.1470,0.1541,0.2240,0.0345,-0.1404,-0.1046,-0.1108;0.0266,0.1891,0.1199,0.0959,0.0772,0.1092,0.0533,-0.0027,0.1012,0.0213;-0.0479,-0.0506,-0.0346,-0.0320,-0.0107,0.0080,0.0692,0.0293,0.0000,-0.0346;0.1225,0.0293,-0.0559,-0.0799,-0.1651,-0.1758,0.0293,0.1651,0.1571,0.1172"
