source_id,start_pos,length,class_label,quality,values
0,16,7,0,-11.68695601853299,"[-0.20619000494480133, 0.6133300065994263, 1.3697999715805054, 1.464400053024292, 1.0546000003814697, 0.5818099975585938, 0.17204999923706055]"
0,0,8,0,-11.68695601853299,"[-0.7105200290679932, -1.1833000183105469, -1.3724000453948975, -1.5930999517440796, -1.4670000076293945, -1.3724000453948975, -1.0887999534606934, 0.04596700146794319]"
0,10,8,0,-12.047920065904538,"[1.2753000259399414, 0.9600499868392944, 0.6133300065994263, 0.014446999877691269, -0.6474800109863281, -0.2692300081253052, -0.20619000494480133, 0.6133300065994263]"
0,5,7,0,-12.376615713655978,"[-1.3724000453948975, -1.0887999534606934, 0.04596700146794319, 0.9285299777984619, 1.0860999822616577, 1.2753000259399414, 0.9600499868392944]"
1,0,7,0,-11.68695601853299,"[-0.9930099844932556, -1.426800012588501, -1.5799000263214111, -1.6053999662399292, -1.6309000253677368, -1.3758000135421753, -1.0184999704360962]"
1,13,10,0,-11.68695601853299,"[0.4614199995994568, 0.4869399964809418, 0.563480019569397, 0.6145200133323669, 0.30831998586654663, 0.2572900056838989, 1.0993000268936157, 1.04830002784729, 0.691070020198822, -0.04890599846839905]"
1,8,7,0,-12.047920065904538,"[0.7165799736976624, 1.2014000415802002, 1.1247999668121338, 1.04830002784729, 0.7931299805641174, 0.4614199995994568, 0.4869399964809418]"
1,4,7,0,-12.237933518879123,"[-1.6309000253677368, -1.3758000135421753, -1.0184999704360962, -0.35510000586509705, 0.7165799736976624, 1.2014000415802002, 1.1247999668121338]"
2,1,7,1,-11.68695601853299,"[0.5697699785232544, 0.19513000547885895, -0.08585599809885025, -0.17951999604701996, -0.2731800079345703, -0.08585599809885025, -1.3970999717712402]"
2,12,7,1,-11.68695601853299,"[0.007805100176483393, -0.46050000190734863, -0.5541599988937378, -0.7414900064468384, -0.7414900064468384, -0.7414900064468384, -1.1160999536514282]"
2,5,7,1,-12.101126963439633,"[-0.2731800079345703, -0.08585599809885025, -1.3970999717712402, -1.1160999536514282, -0.7414900064468384, 0.007805100176483393, -0.08585599809885025]"
2,16,7,1,-12.335978517984882,"[-0.7414900064468384, -0.7414900064468384, -1.1160999536514282, -0.46050000190734863, 0.4761100113391876, 2.349299907684326, 2.25570011138916]"
3,16,8,1,-11.68695601853299,"[0.8843399882316589, 0.6830300092697144, 0.6255099773406982, 0.42419999837875366, -0.007189800031483173, -0.03594899922609329, 0.10785000026226044, -0.2660199999809265]"
3,11,9,1,-11.68695601853299,"[1.200700044631958, 0.9993799924850464, 0.6542699933052063, 0.7405499815940857, 0.8843399882316589, 0.8843399882316589, 0.6830300092697144, 0.6255099773406982, 0.42419999837875366]"
3,0,7,1,-12.101126963439633,"[-0.8124399781227112, -1.1576000452041626, -1.4163999557495117, -1.5313999652862549, -1.5026999711990356, -1.4163999557495117, -1.6464999914169312]"
3,4,7,1,-12.335978517984882,"[-1.5026999711990356, -1.4163999557495117, -1.6464999914169312, -0.46733999252319336, 0.6542699933052063, 1.0569000244140625, 1.344499945640564]"
4,0,7,0,-11.68695601853299,"[-0.9728400111198425, -1.3904999494552612, -1.5367000102996826, -1.6202000379562378, -1.6202000379562378, -1.4531999826431274, -0.9937199950218201]"
